CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
34239,57336,75044,32317,27131,63155,124185,28969,51229
33563,56894,77802,33070,26983,65052,121461,28815,49559
33023,57283,75309,32156,27003,64778,119072,28576,49712
32951,56058,70376,29937,27632,61558,112464,29377,47862
34682,52491,64705,27130,28296,57097,102788,29539,44042
35530,48322,60444,24721,27850,53426,92721,28222,39650
34000,45037,57970,23334,26100,51293,84863,26129,36514
31407,43037,56620,22549,24241,49701,79922,24260,34559
29117,41934,56203,22226,22853,49088,76954,23086,33346
27825,41578,57426,22365,22102,49441,75576,22394,32805
26714,41860,61299,23473,21863,51581,77089,22070,33070
26027,43892,68381,26101,21922,56248,82551,22138,35044
25943,47851,72711,29268,22663,60705,89309,22847,39298
26788,50828,74412,31138,24474,62898,93588,24560,40860
28626,52208,75296,31900,27217,64025,96443,26302,41379
30801,52820,75691,32275,29394,64591,100302,26989,42505
32450,53631,75379,32359,29933,64651,104113,27251,44138
33354,54600,74632,32241,29678,64362,107604,27572,45814
33858,55217,74284,32053,29284,64007,110544,28053,47601
34197,55819,73561,31816,28645,63734,112787,28358,49703
34112,56468,72791,31379,27886,62881,114473,28451,51667
33928,57183,72269,31155,27450,62143,115270,28736,53386
34095,57581,72269,31255,27136,61832,115402,29188,54728
33892,57527,71990,31408,26934,61618,114036,29439,55028
33616,56895,73630,31955,26842,61753,111411,29561,53590
33040,56310,76724,32767,26561,63244,109734,29116,51149
32396,56372,75062,32125,26490,63751,108273,28739,50611
32446,55317,70830,30180,26954,60862,103384,29475,48480
34278,52004,65591,27586,27580,56662,95304,29444,45043
35206,48143,61680,25268,27419,53035,87092,28227,40947
33900,44825,59371,23840,25926,50892,80555,26174,37191
31437,42754,58311,23003,24215,49523,76376,24385,34979
29144,41589,58219,22630,22847,48934,73678,23243,33586
27861,41050,59240,22700,22074,49210,72590,22408,32757
26791,41274,62525,23587,21901,50894,73695,22012,32516
26323,42587,67783,25495,21986,54456,77807,22009,33438
26270,45211,70805,27860,22685,57687,83232,22564,35602
27050,47546,72395,29748,24380,59664,88323,23919,36697
28653,49242,72967,30817,26892,60954,93019,25309,38375
30711,50515,73002,31231,29170,61297,97413,26180,40661
32134,51455,72118,31213,29887,61003,100053,26769,42686
33116,51962,70852,30937,29694,60118,101044,27353,44342
33397,52127,69758,30635,29128,59305,101307,27747,45943
33291,52565,68700,30301,28267,58661,101304,27924,47588
33068,52836,67820,29769,27552,57788,101421,27951,49208
32592,53359,67457,29509,26942,57204,101880,28031,50730
32629,53924,67617,29712,26582,57187,102360,28267,51795
32454,54079,67358,29863,26285,56922,101751,28463,51905
32264,53488,68339,30327,26079,56900,99349,28549,50573
31831,52605,71499,31069,25743,58464,98348,28092,48357
31383,52761,70564,30541,25471,59074,98275,27494,48074
31320,52080,67600,29002,25652,57075,95191,28144,46337
32862,49674,63631,26888,26359,53783,89131,28395,43661
33780,46561,60236,24815,26414,50629,82638,27413,40195
32742,43742,58221,23442,25417,48648,77028,25807,36962
30669,41858,57151,22618,24083,47501,73566,24305,34908
28509,40678,57109,22198,22848,47106,71387,23185,33521
26869,40040,57625,22107,22269,47022,70631,22456,32623
25788,39880,59351,22470,22088,47892,71295,22052,32345
25492,40542,62188,23340,22281,49664,73798,22004,32611
25194,41778,64502,24635,22690,51220,77041,22266,33659
25409,43158,66928,26473,23641,53289,81055,22934,34192
25892,45417,68153,28054,25088,55532,85885,23478,36344
26700,47725,68109,28831,26641,56756,89379,24314,39280
27544,49077,67133,28932,27860,56653,91097,25249,41666
28793,50034,65968,28726,28046,56174,91739,25927,43596
29779,50727,64558,28402,27495,55420,91798,26312,45371
30350,51205,63294,27982,26525,54673,92144,26483,47028
30426,51355,62646,27623,25440,54178,92579,26467,48588
30323,51928,62661,27679,24598,54056,93500,26586,49954
30304,52501,63201,28200,23979,54404,94473,26836,50856
30278,52932,63769,28840,23676,54885,94743,27275,51094
30230,52616,65522,29654,23728,55312,94337,27686,50021
30084,52066,68928,30479,23600,57086,94513,27621,48201
29992,52366,67819,29856,23522,57273,95248,27419,48010
30216,51650,64889,28354,24018,55280,92118,28098,46380
32080,49257,60965,26368,24735,52008,86221,28367,43554
33246,46296,57434,24335,24706,48824,79698,27435,40077
32037,43357,55153,22830,23617,46647,73821,25847,37049
29970,41210,54124,21915,22255,45248,70057,24231,34662
27816,39928,53794,21369,21041,44632,67864,23170,33083
25947,39144,54081,21206,20275,44402,67038,22325,32013
24885,39077,55567,21469,19881,44943,67429,21865,31516
24191,39660,57522,22035,19820,46416,69098,21652,31615
23929,40794,59528,23043,20092,47867,72036,21825,32330
23986,42348,61933,24661,20803,49825,76017,22341,32973
24470,44953,63206,26239,21977,51723,81768,22602,35149
25183,46715,62852,27089,23384,52260,85252,23343,37626
25673,47436,62414,27316,24738,52373,86323,24161,39441
26892,47718,61929,27389,25330,52073,86858,24880,41091
27686,48035,60928,27203,25176,51212,88276,25359,42519
28052,48204,59745,26594,24572,50257,89392,25735,43548
28299,48133,58911,25858,23934,49535,90857,25967,44070
28477,48317,58686,25668,23323,49392,92287,26224,44351
28666,48743,58875,25841,22826,49769,93407,26571,44588
28728,49418,59539,26330,22618,50489,93623,26938,44788
28850,49621,60923,27347,22400,51528,92739,27114,44382
28785,50193,66174,28803,22225,54603,93685,27036,43885
28705,51450,65686,28749,22172,55899,95336,26968,44778
29054,50983,62608,27247,22744,53983,91595,27866,43746
30964,48366,58930,25136,23783,51041,84325,28231,40913
32229,44829,55769,23258,23751,48397,77015,27077,37301
31063,42188,54170,22071,22394,46872,71473,25249,34518
29060,40834,53632,21487,20789,46183,68427,23624,32867
26856,39931,53681,21192,19485,46107,66958,22554,31783
25732,39996,55231,21369,18816,47060,66971,21860,31399
24718,40620,59443,22432,18595,49599,69676,21497,31851
24237,42840,66312,24768,18689,54734,75705,21466,33707
24360,46766,70426,27781,19389,59315,83292,22181,37251
24996,49485,72748,29954,20983,61749,88573,23654,38760
26509,50961,74018,31018,23622,63108,91534,25235,39950
29030,52481,75114,31631,25943,64120,94533,26284,41833
31090,53746,75390,32044,26905,64830,97563,27049,43887
32664,54791,75230,32090,26696,64972,99861,27834,45616
33725,55939,74999,32051,26420,64889,101912,28607,47203
34494,56995,74495,31899,26101,64742,104180,29303,48883
34874,57977,73668,31491,25741,64026,106406,29785,50142
34929,58628,73260,31267,25404,63278,108245,30296,51308
35247,58879,73010,31288,25156,62735,109694,30683,52260
35128,58438,72645,31400,24941,62428,109760,30978,52018
34808,58033,74115,31780,24610,62674,107920,31113,50825
34590,58010,77237,32831,24769,64512,107891,31199,49833
34227,58765,75348,32286,24879,65044,107588,31008,50610
33609,57468,70200,30023,25260,61590,101674,31362,48614
35208,53382,64502,27185,25766,57212,92573,31311,44334
36120,48773,60729,24713,25247,53706,83547,29658,39770
34112,45215,58589,23202,23319,51736,76999,27074,36334
31192,43151,57353,22337,21370,50412,72999,24864,34202
28552,42107,57196,21942,19887,50015,70624,23473,33092
27367,41597,58689,22068,19152,50764,70573,22721,32553
26217,41918,63090,23092,18906,53025,72940,22204,32766
