CA,CEN,MID_AT,NE,NW,N_CEN,SE,SW,TX
31676,47730,67792,26020,27866,55011,82420,27951,34849
30195,45483,64212,24709,26561,52948,80579,26843,33987
28687,44321,62588,23544,25270,51333,78640,23712,33169
27212,43757,61802,22908,24250,50301,77501,23052,32530
25989,43484,61812,22723,23631,49969,77277,22652,32273
25087,43640,62672,23013,23191,50267,78170,22424,32145
24505,44511,64384,23754,23055,51410,80355,22454,32663
24349,46092,65956,24334,23279,52924,82714,22797,33729
24645,47359,67317,25327,24022,54330,86176,23516,34523
25267,48525,67805,26496,25113,55714,88266,23864,35552
25506,49422,68059,27401,26234,57120,88190,24153,36527
26301,49526,68341,27931,27087,58235,87803,24229,36862
27097,49430,68852,28347,27686,59163,88166,24336,36912
27801,49322,69103,28469,27733,59513,87983,24307,36804
28002,48704,69042,28390,27391,59331,87087,24167,36327
28022,48021,69550,28650,27032,59304,86032,23883,35750
27907,48073,72475,30857,26647,60443,86189,23677,35483
27884,49653,77869,33340,26341,64711,89986,23674,35752
28095,53465,79586,33236,26509,68086,96505,24265,37891
29395,55967,79193,32583,28480,68061,96402,26587,41390
33370,56334,78376,31642,30203,67246,94739,28209,41927
34062,55828,76141,30200,29962,65552,91953,27847,41760
33499,54809,73111,28345,29432,63356,88378,27330,41324
32641,52879,69402,26157,28561,60299,83755,26472,40038
31290,51041,66087,24225,27216,57539,79590,25783,38373
29240,49595,64063,22972,25488,55615,77274,25573,37025
27091,49155,63252,22291,24061,54506,76695,25128,36526
25464,49399,63629,22115,23221,54294,77498,24490,36589
24446,49828,65192,22444,22776,54966,79590,24203,37018
23892,51165,68122,23441,22701,56447,83983,24236,38134
23768,53512,72277,25071,23051,59306,90966,24676,40381
24192,56784,75443,26405,23890,62538,96340,25596,43412
25230,58880,77513,27885,25412,64806,100568,26868,45101
26723,59714,79951,29560,27198,66699,104103,27472,45438
27649,60260,82173,30892,28545,68800,106140,27931,45459
28932,60236,83182,31504,29434,69808,106346,28279,45168
30238,59550,83482,31712,30204,70154,105313,28526,44170
31233,58193,83428,31706,30669,69999,103589,28512,43021
31447,56843,83279,31667,30453,69501,101976,28172,41676
31298,55822,83836,32115,29841,69303,101431,27754,40592
31142,55622,87077,34509,29264,70382,103703,27455,40072
31133,57077,94144,37641,28949,74560,112393,27523,40468
31228,61926,96124,37526,29244,78357,122125,28234,43200
32325,65118,95966,36985,31059,78383,124187,30768,47247
36063,65222,94411,35676,32020,77072,123499,32122,48019
36628,64816,91474,33609,31621,75122,120759,31774,48110
35905,63369,86806,30863,30755,71803,115924,31152,47341
34733,60794,81899,28310,29409,67766,110733,29968,45316
32793,58146,78471,26523,27529,64767,107216,28028,43082
30088,56585,76597,25424,25279,62982,105930,26135,41744
27501,56332,76089,24954,23420,62312,105976,24985,41487
25737,56677,76556,24902,22466,62309,107851,24203,41788
24800,57545,78543,25595,22007,63154,111519,23979,42653
24328,59386,83600,27736,21929,66055,119508,24141,44608
24326,63245,92118,31808,22284,71536,131824,24766,48437
25158,68726,97409,34454,23540,77110,140060,26392,53913
27240,70792,97649,35177,26148,78949,140228,28692,55493
30285,69619,97232,35686,29206,78370,138140,29970,53677
32053,67415,97351,36073,30569,78129,135436,30032,51158
32847,65028,97230,36237,30225,77655,131870,29754,48875
33535,62838,96878,36232,29834,77079,127696,29703,46862
34072,60970,96772,36302,29355,76447,123946,29573,45139
34152,59303,96374,36255,28804,75674,120787,29237,43769
34118,57686,96558,36761,28482,74746,119313,28960,42601
34296,57157,99484,39085,28324,75276,121675,28846,42146
34287,58729,106708,42280,28244,79229,131734,28958,42596
34013,63260,109238,42386,28632,82966,145148,29570,45366
34320,66268,108370,41544,30087,82533,148817,31444,48936
37360,66096,106633,40012,31111,80928,149066,32426,49195
37747,65519,103071,37834,30815,78671,146351,32056,48971
36884,63498,97911,34976,30132,74833,140960,31414,47575
35596,60376,92402,32233,29108,70512,135230,30154,44813
33589,57183,88777,30404,27455,66897,131561,28207,41933
30932,55491,86813,29432,25387,64710,130541,26497,40184
28505,54758,86300,28869,23677,63709,131150,25253,39483
26855,54473,86585,28714,22710,63196,132721,24697,39259
25821,54997,88275,29275,22286,63721,136275,24544,39477
25268,56184,92999,31251,22232,66039,143949,24694,40740
25265,59713,100747,35230,22566,71133,155479,25433,44031
26037,64996,105211,37674,23775,76448,161903,27133,49132
28133,66501,104456,37956,26386,77863,157886,29522,50489
31114,64533,102689,38233,29455,76923,148692,30911,48730
32771,62213,101068,38319,30898,76109,139002,30557,46818
33379,60065,98974,38061,30440,75132,130077,29940,45081
33898,58081,97117,37695,29911,73900,122465,29689,43718
34300,56222,95594,37523,29467,72881,116486,29324,42567
34480,54885,94185,37250,29106,71934,111680,28897,41748
34517,53904,94164,37575,28866,71257,109428,28699,41111
34771,53710,96667,39852,28713,71903,110876,28640,40660
34793,54722,102813,42225,28686,75608,119147,28711,40938
34792,58704,104565,42151,29184,79101,130655,29403,42860
35042,61159,102969,40984,30486,78585,133037,31149,45591
37759,60874,100703,39243,31374,77020,132659,32153,45398
37931,60215,96745,36850,30948,74797,129677,31838,44930
36977,58437,90407,33784,30121,70654,123719,31161,43574
35621,55501,84394,30765,29017,66252,117053,29871,41087
33558,52458,79859,28715,27051,62879,112253,27942,38420
30934,51037,77539,27551,24971,61138,110912,26191,36869
28502,50426,76279,26934,23168,59858,110681,24961,36293
26926,50475,76096,26722,22104,59431,112088,24342,36167
25846,51123,77562,27209,21668,60174,115222,24075,36601
25275,52532,82026,29085,21554,62577,122722,24167,37896
25300,56017,90051,32875,21924,67837,135436,24949,41246
26135,61638,95380,35540,23149,73507,142020,26576,46445
28141,63372,95063,36109,25688,75088,137794,29179,48057
31163,61388,93406,36392,28774,73992,128647,30470,46479
32602,58901,91593,36352,30249,72866,119539,30116,44905
33348,57192,89588,36079,29815,71964,112376,29568,43760
33921,55796,87894,35806,29437,70786,106862,29344,42739
34208,54482,86628,35745,29100,69866,103189,29038,41852
34434,53458,85393,35534,28507,68976,100078,28623,41297
34479,52594,84678,35759,28263,68010,98132,28413,40776
34690,52216,86927,37741,28153,68189,98991,28314,40573
34732,52891,93549,40391,28106,71522,105079,28448,40736
34677,56126,96613,40327,28465,75554,115182,29068,42294
34734,58661,96118,39231,29897,75235,117216,30749,44734
37348,58309,94368,37562,31382,73648,116835,31836,44446
37646,57663,90972,35297,31419,71370,114109,31505,43868
36676,55576,85850,32358,30926,67834,108979,30902,42242
35433,52572,80036,29583,30057,63316,103233,29742,39603
33691,49710,76006,27658,28483,59777,99281,27995,36977
31054,48098,73865,26509,26328,57647,97681,26258,35297
28572,47432,72764,25920,24637,56475,97813,25055,34384
27001,47291,72546,25703,23736,56062,99030,24495,34009
25944,47592,74013,26177,23297,56704,102419,24292,34157
25390,48742,78268,28055,23332,58984,109720,24428,34991
25372,52215,86067,31801,23760,64096,122273,25141,37720
26161,57377,90849,34266,25099,69642,129555,26872,42283
28180,59113,90009,34676,27739,71368,126156,29420,43952
31147,57706,87821,34810,30831,70424,118750,30752,42813
32715,56495,85799,34787,32450,69718,111349,30540,42159
33478,55211,83708,34500,32224,69019,105491,30060,41724
33806,54061,81762,34127,31785,67992,101160,29744,41218
34062,53119,80425,33861,31262,67229,98280,29270,40810
34039,52399,78967,33485,30657,66249,95695,28784,40694
33776,51677,77903,33649,30263,65431,93860,28502,40555
33805,51281,78866,35335,30151,65388,93836,28413,40423
33715,51826,84407,37644,30182,68170,98048,28469,40286
33534,54492,86566,37368,30812,71228,105592,29033,41018
33774,55679,85175,36078,31928,70282,104896,30595,42614
36493,54814,83331,34476,32606,68628,103075,31463,41712
36685,53786,80864,32748,32098,66702,100582,31042,40636
35730,52315,77018,30408,31099,63917,96789,30413,39352
34690,50564,72344,27934,30141,60463,91350,29594,37668
33044,48191,68625,25980,28697,57194,86917,28209,35430
30908,46170,66033,24753,26794,55011,84022,26805,33730
28908,45320,64663,24032,25224,53490,82546,25716,32608
27312,44792,64218,23707,24058,52863,82000,24956,31901
26172,44888,64720,23824,23490,53135,82791,24563,31768
25440,45448,66608,24575,23276,54050,85126,24551,32073
25202,46954,69707,25980,23382,56302,89084,24921,33176
25438,49282,73139,27466,23945,59240,93376,25659,35068
26332,51274,75351,29098,25154,61466,96892,26843,36739
27626,52681,76164,30267,26704,62729,98372,27831,38306
28366,53390,75867,30761,28138,63458,97450,28262,39695
29304,53284,74892,30723,29387,63240,95633,28529,40332
30293,52585,73403,30397,30059,62630,93659,28541,40392
30574,51544,71913,29947,30082,61580,91478,28364,40028
30434,50602,70625,29600,29728,60554,89736,27899,39383
30148,50086,70085,29850,29158,60022,88960,27542,39023
29950,50129,71570,31681,28654,60719,89131,27590,39027
29832,51200,77530,34276,28492,64243,92844,27821,39178
30003,54427,80319,34311,28868,67913,99575,28589,40478
30601,55682,79287,33209,30057,67253,98474,30213,42264
33814,54818,77932,31911,30859,65884,95981,31113,41809
34436,53945,75761,30522,30370,64348,92898,30675,40996
33772,52318,72926,28728,29681,62224,88992,30083,39797
32912,50321,69249,26735,28835,59098,83940,29268,38177
31676,48156,65984,25026,27711,56510,79502,27966,36351
29800,46481,64146,23953,26127,54797,76881,26707,34739
28037,45420,63125,23248,24551,53717,75609,25630,33699
26695,44962,62983,22968,23657,53260,75405,24994,33165
25639,44949,63472,23021,23080,53408,76221,24662,33094
24972,45150,65083,23557,22854,54141,78221,24580,33296
24757,46132,67640,24642,22982,55796,81907,24814,34077
24891,47849,70589,25797,23465,58087,86557,25421,35475
25515,49586,73177,27357,24508,59904,91615,26296,36779
26612,51133,74395,28831,26018,61007,93908,27092,38064
27116,52215,74110,29792,27579,61324,93467,27769,39374
28043,52364,73333,30289,28855,61097,91856,28115,39785
28705,52048,73018,30618,29356,60920,91535,28239,39843
29088,52272,72575,30692,29198,60562,91401,28184,40049
29098,52019,71782,30658,28684,60148,90766,27993,39845
28923,51631,72069,30992,28170,59914,90178,27610,39545
28815,51757,74839,33061,27558,61232,91437,27392,39518
28724,52787,81708,35927,27130,65322,95668,27385,39987
28790,56354,84884,36052,27366,69361,102213,28196,41874
29878,58144,84891,35468,29144,69400,101665,30479,44267
33819,57969,84459,34425,30988,68572,99858,32280,44237
34833,56887,82051,32632,30995,66595,96030,32182,43297
34328,54996,77905,30220,30462,63625,89850,31503,41616
33342,52010,73718,27923,29493,60326,83424,30274,39116
31606,49068,70658,26319,27772,57644,78169,28503,36358
29268,47266,69127,25367,25733,56200,75414,26834,34353
27263,46610,68629,24905,24095,55461,74393,25739,33528
25998,46776,68850,24894,23182,55467,74475,25242,33427
25213,47118,70927,25489,22859,56540,76524,25097,33612
24877,48409,76117,27606,22808,59457,82597,25285,34515
25038,52149,84954,31686,23305,65518,94156,26093,37425
25915,57774,90610,34314,24616,71751,101886,27924,42288
28245,60354,90840,34757,27205,73654,101549,30667,44483
32120,59718,90104,35013,30454,73042,101555,31930,44626
34135,59214,89651,35165,31910,72458,102295,31553,45313
34644,58646,88760,34958,31547,71803,102618,31001,45817
34730,57956,87708,34585,31082,70910,102267,30630,46600
34807,57098,86913,34352,30621,70166,101846,30157,46775
34510,56343,86156,33983,30081,69356,100968,29671,46786
34253,55598,86207,34146,29718,68590,100507,29377,46448
34171,55271,88236,35996,29281,68534,101310,28966,46112
33903,56313,93683,38991,29110,71388,105209,28869,46519
33567,59894,95566,38881,29543,75400,111558,29427,48355
34140,62047,94847,38077,31241,75616,111318,31853,50417
37526,61331,92955,36682,32530,74348,107748,33367,49834
38015,59950,89114,34345,32191,72011,101920,33097,48565
37194,57879,83513,31368,31422,68283,95476,32469,46525
35900,54586,77773,28565,30321,63992,88258,31136,43073
33828,51424,73618,26620,28398,60708,82752,29034,40118
30977,49311,71506,25469,26001,58642,79243,27164,37995
28631,48293,70479,24918,24171,57709,77603,26157,37032
27163,48142,70693,24783,23216,57394,77319,25603,36797
26226,48452,72482,25358,22781,58208,79007,25447,37025
25753,49798,77568,27381,22744,60926,84581,25612,38390
25825,53283,86356,31435,23239,66456,95574,26439,41726
26710,58774,91844,33929,24586,72363,102618,28339,47035
28947,60936,91299,34440,27422,73817,102287,31050,49212
32684,60006,89194,34744,30695,72572,101882,32311,48279
34721,59283,87122,34780,32154,71446,101975,31669,47954
34795,58825,85199,34592,31675,70219,101358,30884,48036
34577,58090,83367,34262,31012,69224,100835,30237,47614
34523,56988,82294,34119,30273,68254,100261,29661,46816
34363,56318,81049,33916,29708,67329,99923,29162,46325
34084,55626,80616,34288,29276,66377,99407,28774,45796
34002,55669,82523,36201,29043,66579,100515,28704,45658
33857,56703,88635,38688,28953,69574,105323,28729,45939
33883,60091,91947,38580,29503,73890,111461,29410,47766
34042,61879,91590,37431,30982,73833,110984,31289,50328
37051,61179,90091,35777,32793,72377,107901,32532,50029
37656,60178,87257,33601,32967,70429,103081,32321,49252
36888,57650,82111,30714,32519,66896,95300,31821,47364
35781,54578,77029,28043,31730,62764,87726,30701,44199
33917,51365,73529,26255,30104,59490,82179,28747,41385
31369,49737,71830,25300,27925,57789,78548,27176,39717
28909,48975,71113,24825,26282,56727,76659,26121,38997
27358,48678,71411,24803,25335,56242,75928,25603,38961
26312,49075,73206,25414,25047,56905,76785,25455,39497
25871,50407,78059,27547,25152,59387,81895,25714,40942
25989,53938,86540,31668,25753,64922,92342,26526,44516
26919,60144,91661,34110,27164,70892,99785,28486,50291
29105,62231,90858,34473,30021,72669,100122,31081,51646
32707,60965,89453,34505,33381,72146,100551,32523,49326
34609,59787,88364,34427,34834,71773,101624,32212,46906
34847,58190,87333,34136,34254,71355,102186,31717,45214
35032,57186,86368,33802,33504,70932,101942,31346,43900
34798,55977,85975,33689,32497,70556,101372,30890,42524
34436,55393,85446,33525,31603,70185,100511,30294,41851
34131,55012,85581,33793,30849,69734,100179,29993,41353
34039,55221,87881,35749,30310,70380,101609,29905,41275
34036,56742,92296,38495,30117,73276,105703,30019,41617
34018,60356,93370,38501,30635,76317,112033,30780,43012
34367,62754,91728,37370,32295,75688,111117,32664,45733
37245,62622,89406,35737,34240,74040,108267,33875,45720
37762,62289,85439,33435,34410,71816,104057,33626,45539
36979,60573,79646,30504,33958,68124,97326,33093,44320
35921,57546,73840,27798,33061,63856,89974,31949,41791
34104,54761,69624,25998,31300,60532,84484,29906,39156
31643,53599,67023,24973,29019,58613,81661,28238,38124
29192,53124,65655,24432,27427,57624,80394,27231,38146
27472,53201,65345,24324,26597,57168,80427,26795,38608
26494,54051,66627,24863,26334,58121,82215,26596,39414
25982,55960,71042,26832,26489,60711,88241,26812,41441
26087,60007,79478,30638,27030,66253,99769,27584,45716
26886,66118,85027,33506,28453,72453,107178,29380,51841
28826,68663,85391,34579,31179,74698,106434,31944,54092
32195,68168,84960,35162,34525,74630,105386,33203,52855
33836,68460,85185,35531,35834,75157,105113,32741,52465
34224,68278,84990,35687,35164,75605,104653,32278,52205
34386,67495,84531,35648,34217,75644,104313,31720,51270
34508,66586,83977,35594,33218,75580,104112,31028,50268
34365,66062,83327,35296,32139,75533,103996,30423,49341
34359,65440,83285,35399,31180,75516,104285,30043,48583
34713,65507,85107,36995,30649,76259,106046,29881,48641
34680,66985,90068,38945,30468,79126,111131,29971,50113
34708,70738,92277,38720,31007,82030,119523,30664,52482
34679,73384,91308,37405,32418,81525,120777,32550,56017
37016,73021,89730,35669,33995,79872,119415,33857,56236
37649,72253,86633,33395,33979,77627,115653,33806,56159
36877,70108,81880,30498,33421,73976,109609,33277,54738
35871,66753,76781,27778,32426,70157,103144,32199,52166
34038,63854,73261,25864,30695,67020,98466,30321,49510
31422,62230,71404,24810,28526,65194,96802,28675,47892
29088,61756,70917,24253,26874,64219,96862,27542,47303
27477,61638,71463,24061,25899,63820,97880,26975,47129
26581,62184,73532,24499,25644,64464,100950,26893,47472
26062,63802,78761,26452,25787,66891,108248,27076,48802
26098,67221,87265,30344,26407,71991,120481,27948,52187
26859,72891,93705,33162,27848,77489,128921,29763,57511
28852,75050,94861,33967,30658,79675,129373,32314,58898
32461,73032,95541,34552,33982,79510,127855,33646,56532
34461,70749,96228,34955,35640,79677,126120,33155,53834
34776,68367,96215,35094,35144,79572,123066,32206,51499
34898,65992,95676,35058,34119,78998,119761,31451,48848
34947,63653,94888,35135,33101,78242,116557,30735,46678
34621,61708,94018,35022,31928,77498,113784,29966,44748
34300,59943,93752,35388,31109,76589,111959,29382,43202
34417,59202,95336,37177,30599,76612,113276,29065,42722
34269,60275,100525,39477,30476,79048,119146,29020,43060
34135,64011,101998,39366,30896,81823,127516,29510,44742
34201,66830,99976,38065,31870,80626,127929,30949,48302
36620,66744,97947,36496,33030,78662,126713,32182,48789
36967,66271,94863,34674,32697,76592,123630,31975,48869
36070,65403,90556,32334,31914,73719,119210,31594,48738
35089,63165,85568,29923,30983,69774,114497,30961,46862
33498,60837,81824,28068,29523,66587,110352,29503,45178
31265,59149,79558,26899,27805,64458,108526,28035,43946
28983,58258,78433,26148,26193,63190,108249,27002,43416
27275,57838,77912,25856,25186,62459,108984,26438,43314
26248,57880,78373,25994,24697,62440,111412,26241,43659
25634,58642,80180,26705,24525,63262,115327,26286,44669
25488,60135,83254,28225,24727,65177,121460,26691,46463
25899,62217,86711,29804,25343,68007,127686,27549,48673
26829,64087,89161,31608,26601,70203,131842,28711,50604
28392,64282,90292,33041,28190,71641,129925,29711,50696
29431,63005,90179,33694,29798,72145,125033,30084,48922
30811,60838,89035,33799,31013,71610,118705,30007,46693
31630,58476,87379,33533,31636,70334,112747,29648,44202
31914,56115,85723,33217,31647,68935,107440,29063,41796
31620,54195,84428,32949,31208,67896,103489,28257,39891
31117,52531,84268,33176,30605,67510,101482,27678,38492
30836,52454,86451,34935,30121,68317,102439,27412,38005
30585,53200,91718,37722,29799,71081,107885,27490,38039
30655,56565,94380,37966,30125,74716,117547,28168,39586
31049,59169,93421,36965,31108,74111,118960,29829,42379
33977,59291,91958,35620,32173,72765,118779,30793,42579
34950,59422,89936,34302,31910,71242,117181,30543,42735
34305,58771,86467,32633,31217,68733,114028,30039,42456
33583,56961,82439,30660,30419,65639,109506,29285,41194
32199,55240,79015,28953,29050,62945,105732,28058,39913
30340,54205,77156,27933,27410,61267,104164,26808,39178
28251,53603,75952,27320,25942,60073,103693,25645,38736
26699,53715,75796,27162,25038,59750,104564,24947,38806
25673,53857,76394,27327,24608,59821,106313,24561,39158
25035,54747,78084,27926,24458,60500,109675,24405,39855
24814,56197,80848,29115,24635,62204,114832,24583,41122
24881,58313,83983,30327,25147,64430,121164,25098,42924
25546,60169,86187,32022,26246,66083,125413,25965,44379
26734,60844,86989,33434,27811,67021,121790,26712,45250
27601,59077,86369,34334,29453,66939,114430,27385,44456
28969,56513,85227,34741,30789,66325,107568,27896,42716
29956,54249,84224,34845,31333,65678,102638,28086,40948
30258,52752,82843,34668,31313,65073,98756,28043,39807
30016,51454,81643,34460,31003,64002,95352,27846,38873
29839,50774,81537,34653,30622,63512,93684,27569,38102
29657,50357,84062,36331,30340,64172,94338,27356,37809
29416,51295,90691,39145,30159,67406,99672,27416,38217
29726,54709,94774,39406,30493,72151,109941,27972,39605
31110,57648,94814,38676,31968,72680,112395,30047,42068
34652,57374,94349,37813,33743,72237,113354,31432,41871
35470,56333,92141,36200,33418,70291,111729,30955,40929
34847,54490,88956,34201,32638,67735,108826,30177,39528
33894,51972,85423,32043,31662,64550,105011,29129,37506
32279,49260,82684,30379,30196,61993,101898,27516,35052
30048,47461,81139,29333,28332,60291,100771,26003,33192
27876,46478,80783,28801,26651,59416,100648,24865,32214
26084,45996,81300,28718,25945,59364,101540,24232,31832
25102,45978,83018,29186,25642,59988,103903,24010,31658
24650,46880,86926,30639,25747,62252,108856,24142,32358
24731,49138,92792,33143,26350,66594,115982,24633,34168
25479,52574,97145,35193,27669,71368,122017,25904,36783
27141,54369,97978,36600,29870,73043,123237,27518,38178
29846,54891,96936,37685,32327,73351,120960,28783,39126
31785,55375,95731,38213,33946,73634,117553,29419,40491
33461,55520,94114,38066,34667,73323,113695,29941,41909
34532,55246,92089,37631,35077,72628,110225,30287,42301
35084,54458,90736,37263,35204,71965,107018,30257,42276
34883,53862,89855,36821,34804,71336,104737,29950,42171
34476,53262,89696,36831,34369,70934,103124,29641,41892
34131,52999,91444,38272,33989,71259,103251,29459,41616
33761,53445,96344,40836,33775,73650,107608,29450,41836
33642,55980,97234,40578,33893,76230,114515,29998,42738
34675,58437,95939,39669,35343,75915,114567,31987,44911
38252,57853,93375,38058,36813,74077,111863,33535,44658
39385,56467,89041,35627,36350,71449,106505,33175,43552
38874,54368,83434,32757,35424,67646,99908,32492,41870
37723,50714,77590,29926,34109,63212,92677,31312,38599
35540,47687,73009,27912,31913,59851,86855,29189,35427
32491,45168,70400,26671,29433,57730,83892,27402,32988
29782,44293,69080,26033,27644,56471,82610,26243,31754
27933,43963,68790,25853,26607,55969,82871,25721,31094
26922,44465,70109,26361,26182,56595,84954,25615,31039
26433,45821,74614,28219,26205,59175,90815,25822,31650
26565,49533,82582,31989,26641,64621,102447,26612,34219
27562,56004,87792,34577,28000,70663,109541,28512,38937
29946,59284,88314,35201,30672,73205,107727,31313,41247
33789,58971,88135,35491,33784,73214,105159,32679,41244
35831,59331,88088,35716,35224,73598,103871,32204,41844
36023,59584,87797,35767,35114,73902,102690,31532,42731
35801,59295,86999,35779,34955,73809,101529,30996,43023
35461,58685,86264,35788,34505,73743,100645,30455,42949
34921,58274,85120,35690,34042,73498,99368,29978,43162
34324,57634,84057,35901,33710,73149,98525,29574,42882
34091,57329,85554,37372,33524,73768,99477,29429,42847
33859,58523,90559,39394,33410,76591,103266,29477,43224
33881,61917,92432,39057,33738,79823,109802,30134,44473
34527,64881,91113,37798,34610,79752,110118,31864,47293
37920,64682,88998,35921,35809,78225,107118,33258,47176
39086,64024,85381,33634,35496,76125,102413,33141,46538
38592,62127,80125,30728,34448,72468,95730,32652,45045
37557,58961,74658,27986,33212,68110,88667,31401,42134
35357,56204,70629,26119,31353,65099,83387,29437,39627
32312,54773,68748,25069,29104,63391,81073,27678,38271
29666,54624,68119,24488,27313,62581,80207,26565,37920
27827,54796,68582,24351,26295,62406,80860,26025,38026
26786,55407,70460,25006,25916,63149,83281,25881,38694
26404,57220,75660,27184,25937,65788,89829,26049,40308
26522,61289,84598,31313,26482,71456,102217,26880,44207
27498,67681,90401,33891,27836,77401,110807,28781,50291
29941,69799,90663,34512,30243,79150,110749,31449,52341
33785,67892,90460,34938,33030,78498,110373,32781,50505
35776,66008,90343,35254,34352,77914,109899,32108,48535
35790,64230,89800,35322,34591,77090,108551,31325,47184
35510,62333,89169,35198,34743,76251,106653,30699,45468
35237,60638,88515,35209,34737,75217,105001,30134,43834
34829,59316,87783,35068,34409,74432,103713,29660,42664
34292,58359,87879,35375,34194,74085,102866,29325,41704
34184,58113,90428,37120,33942,74793,104399,29205,41260
34048,59427,96604,40355,33895,77711,109745,29226,42152
34178,62943,100271,40786,34272,81796,119349,29823,43364
34502,65823,99927,39838,35001,81678,120970,31334,46671
37382,65654,98221,38244,35814,80376,119418,32663,46689
38589,65213,95099,36139,35103,78184,116017,32425,46411
37980,63551,90303,33357,34121,74681,110557,31881,45145
36952,60543,85161,30706,32849,70614,104046,30764,42246
34982,57092,81627,28946,30893,67389,99465,28826,39538
31996,55524,80115,28026,28711,65671,97687,27121,38109
29377,54744,79471,27588,26910,64725,97638,26121,37371
27595,54565,79984,27537,25978,64463,98836,25585,37041
26634,54837,82191,28201,25653,65165,101968,25334,37159
26155,56349,87506,30355,25570,67593,109655,25472,38220
26282,59847,96414,34556,25991,72836,122959,26177,41163
27199,65713,101590,37007,27185,78439,131246,28023,45899
29468,67308,100649,37398,29497,79934,129066,30667,47273
33267,65654,98202,37436,31900,79229,123822,31906,45445
35342,63462,96541,37440,33165,78898,118657,31339,43881
35454,61268,94613,37151,33090,78506,113809,30598,42888
35650,59730,93004,36783,33251,77724,109431,30089,42037
35714,57774,91904,36554,33322,77030,106277,29618,41254
35549,56919,91023,36311,32996,76370,103886,29151,41049
35286,56110,91141,36653,32676,75914,102437,28863,40923
35244,56085,93445,38337,32400,76512,103195,28703,41046
35118,57144,98466,40857,32344,79178,107329,28802,41735
35229,60315,101235,40828,32509,82908,116133,29289,42078
35581,63334,100328,39798,33056,82816,117811,30623,44394
38098,63289,98447,38006,33728,81583,116074,31889,44099
38701,62593,94976,35740,33139,79731,112331,31641,43214
37979,60797,89203,32850,32147,76389,106152,31043,41465
36769,57530,83768,30051,30906,72462,99206,29914,38691
34679,54386,79985,28188,29183,69515,93874,28060,35765
31702,52644,77967,27076,27198,67651,91452,26401,33990
28935,52108,77202,26523,25730,66767,90466,25322,33145
27020,51829,77397,26395,24693,66319,90734,24844,32737
26038,52119,79357,27014,24210,67080,92787,24687,32929
25451,53251,84260,28986,24060,69401,98630,24838,33840
25414,56534,92504,32983,24335,74437,109918,25560,36580
26154,61575,97936,35461,25288,79871,116772,27381,41163
28328,63584,98032,36037,27331,81532,114751,30052,43127
31780,62611,97335,36382,29761,81339,111270,31354,42398
33880,62350,96606,36544,31137,81387,108689,31023,42249
34474,61931,95259,36482,31305,80760,106326,30405,42650
34812,61160,93960,36184,31419,79933,104284,29933,42280
34981,59994,93010,35982,31423,79301,103318,29407,42253
34853,59080,92127,35620,31214,78428,102125,28934,42284
34638,58278,92049,35683,31092,77596,101518,28682,42285
34599,57878,93626,37100,31234,77714,101952,28414,42295
34343,58457,98286,39840,31315,79781,104532,28461,42329
34334,60656,99791,39884,31629,82227,109019,28868,42559
34699,62243,98024,38697,32166,81332,107790,30054,43972
36891,61446,95778,37217,32734,79329,104419,31113,43071
37197,60701,92704,35505,32070,77112,100360,30687,42024
36304,59104,88306,33245,31080,73959,95152,30114,40637
35112,56829,83369,30797,30023,70123,89061,29343,38627
33426,54330,79544,28971,28512,66976,83459,27893,36423
31158,52497,77192,27791,26740,64958,79897,26525,34505
28614,51629,75892,27125,25156,63810,77871,25516,33571
26866,51461,75329,26849,24090,63193,76883,24784,33022
25688,51460,75707,27008,23401,63326,77283,24485,33098
24899,52065,77219,27729,23046,64285,79280,24358,33581
24531,53676,79850,29216,23067,66235,82883,24513,34833
24687,55995,83386,31005,23621,69154,87430,25255,37140
25499,58076,86291,32991,24727,71251,92108,26382,39505
26768,59943,89404,34757,26109,73113,96315,27281,41533
27911,61217,91292,35872,27568,74260,99314,28134,42859
29571,61378,91663,36296,28782,74253,100133,28772,43337
30882,60742,90991,36228,29595,73441,100150,29058,42856
31460,59383,89729,35917,29878,72305,99167,28780,42002
31433,57859,88405,35553,29596,71118,98006,28437,40812
30915,56735,87848,35474,29219,70398,97294,27976,40064
30374,56372,89041,36681,28944,70912,97759,27532,39652
30071,56993,93165,39064,28846,73341,100126,27510,39642
30162,59619,95499,39124,29100,76910,105314,27991,40902
30744,62099,93928,37831,29857,76301,104388,29369,43483
33486,61118,91865,36353,31162,74647,101456,30615,43283
34624,60208,89354,34793,31030,72807,98123,30146,42786
34201,58640,85933,32815,30375,70150,93660,29509,41770
33403,56352,81911,30790,29553,66865,88660,28572,40055
32131,53694,78406,29117,28258,63952,83783,27215,38040
30330,51895,76538,28134,26796,62200,80681,25963,36374
28205,50565,75461,27570,25229,60834,78985,24918,35215
26527,49832,75108,27288,24348,60102,78575,24335,34622
25370,49500,75399,27349,23788,59840,79100,24016,34329
24754,49291,76612,27933,23526,60212,81007,23954,34328
24469,50187,78769,29043,23580,61380,84266,24183,34852
24584,51737,81595,30129,24025,63418,88866,24823,35928
25131,53041,84212,31840,24958,65264,94541,25846,36976
26224,54955,86411,33188,26399,66906,98780,26865,38288
27181,55585,87097,33866,27970,68046,99944,27741,39527
28766,55042,87004,34056,29158,68492,99678,28250,39785
30019,54532,86674,34015,29914,68599,100134,28383,39751
