CEN_WND 1,CEN_WND 2,CEN_WND 3,CEN_WND 4,CEN_WND 5,CEN_WND 6,CEN_WND 7,CEN_WND 8,CEN_WND 9,CEN_WND 10,CEN_WND 11,CEN_WND 12,CEN_WND 13,CEN_WND 14,CEN_WND 15,CEN_WND 16,CEN_WND 17,CEN_WND 18,CEN_WND 19,CEN_WND 20,CEN_WND 21,CEN_WND 22,CEN_WND 23,CEN_WND 24,CEN_WND 25,CEN_WND 26,CEN_WND 27,CEN_WND 28,CEN_WND 29,CEN_WND 30,CEN_WND 31,CEN_WND 32,CEN_WND 33,CEN_WND 34,CEN_WND 35,CEN_PV 1,CEN_PV 2,CEN_PV 3,CEN_PV 4,CEN_PV 5,CEN_PV 6,CEN_PV 7,CEN_PV 8,CEN_PV 9,CEN_PV 10,CEN_PV 11,CEN_PV 12,CEN_PV 13,CEN_PV 14,CEN_PV 15,CEN_PV 16,CEN_PV 17,CEN_PV 18,CEN_PV 19,CEN_PV 20,CEN_PV 21,CEN_PV 22,CEN_PV 23,CEN_PV 24,CEN_PV 25,CEN_PV 26,CEN_PV 27,CEN_PV 28,CEN_PV 29,CEN_PV 30,CEN_PV 31,CEN_PV 32,CEN_PV 33,CEN_PV 34,CEN_PV 35
0.2637549887040922,0.20090688656110606,0.1737367072981789,0.20084808107946125,0.2036286800009516,0.21883413520867892,0.18273573350214106,0.17069786352579813,0.16294349758059948,0.1728788750113577,0.2622409352996904,0.2859903887293313,0.27597393745372234,0.2650467314792067,0.2561794941735487,0.1633599179675042,0.1768873777665362,0.1663175899189997,0.16569101075130507,0.18966422013352213,0.1516178769459101,0.10048724333038256,0.0759639945443022,0.07660609770199509,0.07402926658071289,0.3323105932751783,0.3060299877545498,0.2837611460245974,0.2271338724744101,0.21419283634394962,0.2615752673766732,0.2576143862038172,0.19955270046768675,0.12785841628300176,0.12035244228513067,0.6719820512389839,0.6646779884357341,0.6547492060945238,0.6456854110408732,0.6099951501297473,0.6906279089128808,0.7043580000152144,0.7386348467200566,0.7396166488855195,0.7515060548881195,0.7943169559262809,0.7737003503199776,0.7544468134624086,0.7568210220754334,0.773056487303791,0.608843355487199,0.6410730547067497,0.6678640782270954,0.6607080384345755,0.6625794474880872,0.7701798588827206,0.7457836732053535,0.7142914949521207,0.6993243420260367,0.6990888658185747,0.7103633605472013,0.7201152294295629,0.7068947522786768,0.6941083198434943,0.7067243027432641,0.5918212484189157,0.5942320110382274,0.591310664906688,0.6050635282416107,0.6527041569400963
0.25499064862796267,0.19078680096359932,0.17373670729817886,0.20084808107946123,0.19247441651877276,0.19997453346899527,0.1690573942511332,0.17069786352579816,0.16294349758059948,0.16695394034362826,0.25162568452168393,0.27246025238574384,0.2634975420972044,0.25047205152939006,0.2410451064008497,0.14630127994936606,0.15929107301141293,0.1663175899189997,0.16569101075130507,0.18767025508681526,0.14465546494177647,0.10048724333038253,0.0759639945443022,0.0711592412710638,0.06363330635176699,0.33231059327517837,0.30602998775454987,0.2692189053642965,0.22281313042574555,0.2036829841749818,0.24268030661361292,0.23904359093960983,0.18849154678423855,0.12785841628300176,0.10692889378605953,0.6489236847241464,0.6416747004983059,0.6312847974825752,0.6213341772398703,0.5842624369847474,0.685916761406615,0.7043580000152143,0.7386348467200566,0.7396166488855195,0.7420360555868489,0.7846234072514593,0.7737003503199777,0.7544468134624087,0.7481978518074663,0.7664373804615615,0.5763752403633037,0.6185989134543836,0.6465745755153312,0.6385891500397196,0.6394379763332252,0.7647330315922307,0.7364770312269151,0.7036229590090678,0.6930669604385797,0.695797675362977,0.7103633605472013,0.7131646055369897,0.6927042264306539,0.6800519612372897,0.652530972786188,0.5918212484189157,0.5942320110382273,0.5706287787923755,0.5835800574482465,0.6367910265514801
0.2518773817128181,0.1806012530358871,0.16419698687245488,0.19005436355289917,0.19247441651877276,0.1812281184382499,0.13742791394339018,0.1610311625677229,0.15458652240784512,0.15417906351059554,0.23597318634120332,0.26794932070366057,0.24506108216670344,0.23994852783085135,0.24104510640084972,0.1366451834150362,0.15929107301141293,0.15988504238829998,0.15987716553889653,0.17435809461985577,0.14465546494177647,0.10048724333038256,0.0759639945443022,0.07115924127106382,0.06363330635176699,0.2983783344797698,0.28934742497572497,0.2642081656664625,0.2175904036476479,0.20368298417498176,0.23327124329961726,0.23442522997803972,0.17763947849672537,0.1217511400051415,0.10692889378605955,0.6489236847241465,0.6416747004983059,0.6312847974825752,0.6213341772398703,0.5770238280979573,0.6737172231321028,0.6894241185892748,0.7242168388739342,0.7259415350963659,0.7318774036995936,0.7667084451109558,0.7561476804679889,0.7382523561977506,0.7304626450840499,0.7664373804615615,0.5752778122625711,0.6125724218512827,0.6407564994730611,0.6310829844665535,0.6155601610868812,0.749581703009539,0.7187215401734242,0.6821491892794467,0.6712887807548628,0.695797675362977,0.7058663270233415,0.6881222452253445,0.6634874550014656,0.6427937882779937,0.6369465548639005,0.5577948929472925,0.5615349426302637,0.5557259081939676,0.5835800574482464,0.6331318421850276
0.23574259345238552,0.1806012530358871,0.16419698687245488,0.1799075170389096,0.19247441651877273,0.1424569299876364,0.11710725598029018,0.13177344254329743,0.13836951497572889,0.15336266842424065,0.23597318634120337,0.24551424203319835,0.23385197635927968,0.23212201579892666,0.22628378510971783,0.1366451834150362,0.15122316647877465,0.15317952852967778,0.15987716553889653,0.15553589061873388,0.14465546494177647,0.0973579472126767,0.07596399454430218,0.06592363004110732,0.06108709041635827,0.28467214501466503,0.2629480480771716,0.2496549148336259,0.21759040364764787,0.19887199893878243,0.18766796415654505,0.2154201463403389,0.17763947849672537,0.1217511400051415,0.10692889378605955,0.6051284771829698,0.5991321494871509,0.5889848924075488,0.5794027551939426,0.5367682476858352,0.652225567958544,0.6838470309321086,0.7242168388739341,0.7136059174619215,0.7184689195243924,0.7667084451109559,0.749112199217434,0.7128557422527841,0.7304626450840497,0.7400254331410455,0.5217227647367865,0.545130886953829,0.6004081806063649,0.5934701017378486,0.5654785886941919,0.749581703009539,0.7187215401734243,0.6821491892794467,0.6712887807548628,0.6740458698064499,0.6944229708128462,0.6804494706705709,0.6551471740389894,0.6294849338106595,0.6076156310421567,0.5400390630398493,0.5441192536689098,0.5380679832143394,0.5554011188543363,0.6108296942718937
0.21500036327298,0.16932466683021646,0.15440117498214603,0.17990751703890961,0.1826106022974889,0.1424569299876364,0.11016608376952529,0.11313449158150234,0.12956018180581538,0.13904847906560167,0.22989601598782902,0.24476119529572785,0.2338519763592797,0.2208393462493574,0.2231628671733547,0.1366451834150362,0.14261123650300642,0.1434725342025684,0.14894633214583283,0.147926471804454,0.1397596329839455,0.0973579472126767,0.07045254183794736,0.0645230445043078,0.06108709041635827,0.23998646419811606,0.25362348787533545,0.22223280949674776,0.2175904036476479,0.19062881947410845,0.16308151524213416,0.16581620069092035,0.1776394784967254,0.12175114000514152,0.10692889378605953,0.5823522278672907,0.5736927701939502,0.5629556081646567,0.5591110428518846,0.5069883160804227,0.6428929650451137,0.6704556584583827,0.7129459634494513,0.7136059174619215,0.6986055486733801,0.7301553411092676,0.7175234028478837,0.6947893308042884,0.6853940336930798,0.7287020941626426,0.5100940588274551,0.545130886953829,0.5548758878764665,0.5486833648145054,0.5322526905046248,0.7495817030095391,0.7187215401734243,0.672111967773144,0.6564347903506514,0.6657797018830508,0.6678652407744342,0.6695182273500092,0.6405869810790227,0.621334618640313,0.5781907552885864,0.5229709369325044,0.5159851751332476,0.5204371102220097,0.525181934749473,0.5805933891714419
0.20236920869714956,0.15597075070799724,0.14785868882720382,0.16667773615823112,0.16932153834611785,0.1424569299876364,0.10223615127102939,0.11313449158150232,0.11372504089659577,0.11481340513559449,0.22989601598782905,0.24476119529572785,0.22755464447345955,0.21893007144564328,0.2150629559486836,0.1366451834150362,0.12524163740993877,0.1434725342025684,0.1489463321458329,0.14792647180445398,0.13975963298394548,0.0973579472126767,0.07045254183794736,0.06039678959248471,0.056432076377457036,0.23352625648263417,0.22127172037010254,0.20430797668913367,0.21457266969813754,0.19062881947410848,0.16308151524213407,0.15131612617285847,0.1696150674387148,0.11523703861227036,0.10327736207486732,0.5376811058296286,0.5353946956625565,0.5382288304178212,0.5296818533185027,0.4828827599395365,0.6159880256036118,0.6382667477737538,0.6696294950104634,0.6715725237704725,0.6809363896291192,0.6585224276303586,0.6462065032287222,0.6503215763084841,0.6493442644100573,0.7038995747743957,0.4886069568009303,0.5084065183471106,0.5103565301331752,0.4975052796763631,0.4896473484577152,0.7039883771211736,0.692533483691524,0.6450488997685889,0.6309387075885726,0.6657797018830508,0.6593394133830732,0.6568764974714701,0.635070631384099,0.6130913483262999,0.5677423635000435,0.5001686579217014,0.4931202245718283,0.4951976458165466,0.5068111479143984,0.5569900694571491
0.17835023604631947,0.14601497959833176,0.13660580776972434,0.1609420418552408,0.1626057293759459,0.13119120309764812,0.10223615127102939,0.10667006212268824,0.11013455367653541,0.10827597183145796,0.22989601598782905,0.24476119529572785,0.22755464447345952,0.21893007144564328,0.20461997648984956,0.12201318886697013,0.10971044372540485,0.1434725342025684,0.14625748085045587,0.13761265685796908,0.1326797599084941,0.09735794721267671,0.06553681169634001,0.06039678959248471,0.05413603959464971,0.21932656190113814,0.21564798115635,0.20430797668913364,0.20501845934516108,0.1835532109646351,0.12398689396622657,0.13403886251597158,0.15435172432538502,0.11523703861227036,0.10327736207486732,0.47496670054419277,0.46934330673959596,0.4601453182238712,0.4689698934754708,0.435510860466868,0.5770070945324861,0.6060555215973429,0.621403582543067,0.6310253488870974,0.6219754267890878,0.6234185121192265,0.6188533639047964,0.5837673098903646,0.6040633687531255,0.6386188196211917,0.4390903992845655,0.48710695411976174,0.48475747927530477,0.47733524144470973,0.46434045161548515,0.6305460418327016,0.6440574763708333,0.6194530221271318,0.6150654329374485,0.6219011531928866,0.6383860249273217,0.6386752223601192,0.6076855833335616,0.5759609004885164,0.5300697867623917,0.4532685938680254,0.4488120818444245,0.4687111523753498,0.4620670317765207,0.5053721155603867
0.17835023604631947,0.13494075751396997,0.12447591969458285,0.14390398079181438,0.14993373937215634,0.11609674353214745,0.09165933713316851,0.10667006212268824,0.11013455367653541,0.10114471003501621,0.22562707095692897,0.23885825089547266,0.22755464447345952,0.21893007144564322,0.19923791758834958,0.12201318886697013,0.10081865847799511,0.1434725342025684,0.14304277039034255,0.12306131315809014,0.1291758717410994,0.09735794721267671,0.06553681169634001,0.05856511835218407,0.05413603959464971,0.21082533662226674,0.20484081750544375,0.1871936257723509,0.20501845934516108,0.1835532109646351,0.11213097171558722,0.13403886251597158,0.14320944249820058,0.11523703861227036,0.10162675893059689,0.44764404110815764,0.4420947446302073,0.43280246464667477,0.4524667587540323,0.40739783748112374,0.5149707352964858,0.5385354501265902,0.5833841347091937,0.5929391044088663,0.5993123406955132,0.5956732762529132,0.5802488793242684,0.5610674274814272,0.5864078354168046,0.6165668932608699,0.38989674638997546,0.43678034889360756,0.4601024451752088,0.4527251123785475,0.40014266366930257,0.6079435654709595,0.6161750701949824,0.5723198973891541,0.5775815530926917,0.6068818721332969,0.5980825520448623,0.6047474593363411,0.5541836406581384,0.532559739180588,0.4691520067203558,0.4004526664734191,0.4013730866158379,0.3958748511950861,0.4160541584982128,0.4732781916822369
0.17835023604631947,0.12151401823503484,0.12447591969458287,0.13245189949837247,0.13832756049178263,0.11609674353214747,0.08581288326087884,0.10667006212268823,0.10385986324048088,0.10114471003501621,0.20815933143235077,0.2296405082546028,0.21209834652259837,0.2057281708911511,0.19102391902891253,0.11014606772170214,0.10081865847799511,0.14347253420256842,0.14059354115553818,0.11445190764639403,0.12524414474184312,0.09127563793716965,0.06553681169634001,0.05856511835218407,0.050734807109682416,0.1941661675936793,0.1875677459526179,0.1871936257723509,0.19900781060977032,0.1764532724076271,0.09461596925659384,0.10849791012614464,0.14255530326160176,0.10825932913775739,0.1016267589305969,0.3944110487056773,0.38935434293071425,0.38002037625400065,0.3838269267700191,0.3479783657398296,0.4949428041553994,0.514255006753052,0.5300336430291831,0.5607778954348954,0.5479018311505083,0.5579723573220732,0.5366560671933139,0.5083036580928559,0.5564492578671808,0.5754921182993475,0.36776967902188484,0.4162305505537294,0.4346217524581685,0.41196746983902965,0.3616059326542951,0.5753886566011194,0.5798028970042989,0.5512696389855168,0.5542042361661206,0.5707847749682252,0.5799857239088151,0.5546216568536085,0.497821984146202,0.48802819677870796,0.3935221202464113,0.36062925843339944,0.3605510512341361,0.35983232686308136,0.3753944259479994,0.4458387072949512
0.15616353209113595,0.10916966628593935,0.09497949570008304,0.12059505693871266,0.1207274005587827,0.11609674353214747,0.08581288326087884,0.09912623692723575,0.1038598632404809,0.10114471003501621,0.19435844347057987,0.2148272108101919,0.2091892751474211,0.19583349061334196,0.18885536541826622,0.10047879611898977,0.10081865847799512,0.12971159105439706,0.13190845874283946,0.114451907646394,0.12201877500771934,0.08134051217663445,0.061321452674479984,0.05301052777493798,0.0437802539429625,0.1941661675936793,0.17994867927196717,0.17739943918211265,0.19083410217263816,0.17645327240762707,0.09461596925659384,0.10849791012614464,0.11660348765402975,0.10285509399018573,0.0950674455016183,0.3753953080809717,0.37061249795433754,0.36106817072498537,0.35821068138761125,0.3132535795449785,0.4689099025862814,0.47276160581916965,0.5111117552187445,0.4981810984639156,0.4969130698988918,0.4906547602068434,0.4953793235028818,0.4941928425174253,0.48146415867732895,0.5242399350850326,0.33822818336945937,0.35537518484819813,0.3646780396294092,0.3813547459293823,0.31085892949229954,0.5400478186395428,0.5271126314581805,0.5031673175667385,0.511378007603995,0.4988098591821359,0.5575234920367592,0.5424039973869266,0.4828681033927049,0.46126133947090986,0.36989385692136556,0.34444971674229413,0.3605510512341361,0.3428004681893031,0.3583156732764873,0.3957523778479785
