NE_WND 1,NE_WND 2,NE_WND 3,NE_WND 4,NE_WND 5,NE_WND 6,NE_WND 7,NE_WND 8,NE_WND 9,NE_WND 10,NE_WND 11,NE_WND 12,NE_WND 13,NE_WND 14,NE_WND 15,NE_WND 16,NE_WND 17,NE_WND 18,NE_WND 19,NE_WND 20,NE_WND 21,NE_WND 22,NE_WND 23,NE_WND 24,NE_WND 25,NE_WND 26,NE_WND 27,NE_WND 28,NE_WND 29,NE_WND 30,NE_WND 31,NE_WND 32,NE_WND 33,NE_WND 34,NE_WND 35,NE_PV 1,NE_PV 2,NE_PV 3,NE_PV 4,NE_PV 5,NE_PV 6,NE_PV 7,NE_PV 8,NE_PV 9,NE_PV 10,NE_PV 11,NE_PV 12,NE_PV 13,NE_PV 14,NE_PV 15,NE_PV 16,NE_PV 17,NE_PV 18,NE_PV 19,NE_PV 20,NE_PV 21,NE_PV 22,NE_PV 23,NE_PV 24,NE_PV 25,NE_PV 26,NE_PV 27,NE_PV 28,NE_PV 29,NE_PV 30,NE_PV 31,NE_PV 32,NE_PV 33,NE_PV 34,NE_PV 35,NE_OFWND 1
0.4141987018818851,0.33723558346073995,0.2986482253277389,0.3163568653035135,0.29646095768821235,0.33846668805951796,0.31393513845517806,0.29426933045378245,0.2756111268329645,0.2364053870976118,0.3481471099266986,0.3483912116553177,0.3370776708062752,0.31527096120949144,0.30537965459831357,0.3907146012548796,0.4061853201518853,0.4508213970817713,0.4452977977266993,0.3454413629700478,0.24709957381666586,0.2196241186787883,0.22073304206125294,0.25242452444149693,0.2583400573368258,0.342945975737824,0.3312087168773705,0.32356714599766867,0.3172345247184875,0.29126456366380377,0.3720164947146316,0.3212787191370112,0.2993590168572894,0.2853008692117766,0.25017649750783716,0.41169541037879204,0.3978126878059727,0.40561498171803106,0.398674726103584,0.3759111106709208,0.3748186554095912,0.3682882151608691,0.4082351599497921,0.4114842391156385,0.40445744368933434,0.4128490183429968,0.4142906076459621,0.3999479036607453,0.3641960180076864,0.3405236328009094,0.3988276817161687,0.3543540283463621,0.3385304105952915,0.3254585591363897,0.32141231270424586,0.4308640607408978,0.47137529995221383,0.4734182135320836,0.4578384810062477,0.4148957206752444,0.35542177377438,0.36115498820672914,0.37678054325903515,0.38971416952748106,0.3838840256444418,0.3688511682123441,0.37430717969778854,0.3775830031931079,0.3758608897504169,0.37988126405715184,0.23602704873350872
0.4079100542531229,0.32354000641956104,0.2899123106189555,0.31160640689172614,0.2964609576882123,0.3260420199601033,0.3032114860524397,0.2858381794357711,0.25974454274133923,0.23640538709761177,0.34362514823282453,0.32976531181227825,0.33147482399382533,0.3072961015535312,0.30243538060823816,0.36680978375700607,0.40019724381734084,0.4426264429104596,0.425087637463405,0.32247879760015613,0.2307615079204636,0.19968348812717557,0.20592284330514002,0.23657091717221615,0.2482484208024408,0.3234948951583907,0.3122650809235834,0.30647730926796896,0.29587469473108624,0.27021239141900816,0.36121061546230127,0.3053822923467909,0.2915468326010507,0.28046536796074617,0.24592223541091354,0.36491053605539875,0.3715394255048812,0.3773261121875033,0.3566776472826855,0.3082249434150869,0.3601670071605359,0.3536204733464467,0.3885354396313074,0.3722113997970661,0.35701712909622163,0.38013426387915406,0.365032635996725,0.37490004580831227,0.35395035606663716,0.29884901624308174,0.35747388437626176,0.32241442163196576,0.323736362903437,0.3030444639676903,0.2751903354439148,0.3983402396415925,0.42417207887328556,0.4187511877961093,0.39865281017598453,0.35034210351625333,0.3315749422689176,0.3334837467478518,0.3628090797824075,0.3499343401096566,0.34413634439581225,0.3559166763989894,0.35515023553512615,0.3309875724116984,0.34091724138757196,0.3325157453005431,0.20794549740385265
0.38391287203712243,0.32037296496395834,0.28680501113067824,0.29304535110872765,0.2721889234554932,0.31264770006283454,0.29310294189336367,0.27967279019717217,0.25587518289836275,0.22215399052953436,0.3210512712140291,0.31603714343221895,0.31280822868342245,0.29231812419328673,0.2877204490144546,0.366809783757006,0.37964950960945393,0.4321952845829594,0.4148848486394231,0.3159359023919994,0.22125363252332575,0.19048185542775123,0.190011733546588,0.22775972992606403,0.23631562891601748,0.30555892928870415,0.2932203987703,0.2882478767589563,0.28880812591400257,0.2612495362316246,0.35940420338801665,0.3007820360293974,0.272486495222913,0.268655265960496,0.2411535251361929,0.33069954235534355,0.3301387842146797,0.3237990990748759,0.31180420584247154,0.27805538176770295,0.30799267514887224,0.31522751908973257,0.3253688579590876,0.3227445875858767,0.3274201913495121,0.31562126464190843,0.3095493113293183,0.33352394435941823,0.3191973829900874,0.27401826054243245,0.3064879045432258,0.288915933557566,0.26937384047726365,0.27028678338464657,0.24667357500458886,0.3317369084863118,0.38701566251111935,0.3928107506088553,0.3630127336456219,0.30545074616661616,0.2875274540692351,0.28861434975275113,0.28788324134302806,0.2917894080074744,0.2732621196489188,0.30380819354341704,0.2988185721779045,0.2887178752835312,0.3138356085957057,0.2991930183819287,0.15910861211701888
0.36155975123387557,0.30562619283253617,0.27592524063081364,0.27564101138424174,0.2583449202489109,0.3126477000628346,0.2855302756072105,0.27426046147115046,0.2514149721953592,0.2221539905295343,0.30197857545760187,0.3074753094865127,0.3012954622731441,0.28257328437014845,0.28772044901445454,0.3610267245049055,0.36963371361354663,0.42782855631839195,0.4090897317325195,0.2953932546734699,0.22125363252332572,0.19048185542775123,0.190011733546588,0.21364905341510784,0.22521629298736293,0.28588061380740426,0.2780881445634478,0.2815923828038477,0.2739566273593569,0.21606631168625112,0.3480401067784424,0.2890693102993717,0.25301629180050217,0.25705950124094784,0.23937577043945046,0.3050420130775625,0.3007156470044047,0.27552739827279316,0.2898832958389881,0.23998006734830185,0.2647839146690491,0.27446516933062703,0.30176908897568255,0.30778471040878924,0.29628210314860887,0.2832075202847505,0.28276068959712336,0.28828583978681327,0.29414496047851346,0.23698778350132904,0.29770475242427824,0.2612474335035247,0.24666101316965158,0.23855209222974805,0.2171561308671671,0.317914669332897,0.3399204618526571,0.32910095455776317,0.3075106280762433,0.28112949383749014,0.24682612901000345,0.25433030314073773,0.2574397148480412,0.2528651866282174,0.2300493846905698,0.2620671335751868,0.2698475658964471,0.2649737857115647,0.26507414865868667,0.2576434862354652,0.14345796105494216
0.3445321832698727,0.2818204735690541,0.26864205332718355,0.2756410113842418,0.255486178639824,0.2990670840450522,0.27305854979856875,0.2605619940585519,0.23465520481875937,0.2005515123406849,0.28664265170870445,0.28542340471135663,0.2831883657206255,0.25284040575157674,0.2453889328327348,0.35116312758374935,0.36963371361354663,0.41925423212498025,0.38384768787726137,0.2870433525206079,0.21357154846291831,0.1820760212296278,0.18085074727186343,0.20548994614695354,0.21016313721977392,0.26209656010403326,0.25312968906693717,0.25732328245584185,0.2387720029900864,0.2034054109607396,0.3263713732757192,0.2702946618349887,0.22818302843171637,0.23161977670033534,0.22756994404427766,0.2667988482913313,0.2644456019404171,0.24266965764695791,0.24418305844212296,0.21143241674574023,0.2379981172826372,0.23622471361741781,0.26267160533462786,0.2575148778299533,0.26278112534647724,0.2508923949594447,0.2299851959132865,0.25371217914476935,0.26905785175366415,0.2114710773195994,0.23411075576112547,0.21631333420579577,0.20040825172152532,0.20342730946657803,0.19587925158696007,0.27721349689775576,0.27247644755466216,0.27548033642534714,0.24814258897613692,0.232832482364172,0.23230113104694644,0.21528195870974684,0.24270359642479963,0.2231532621074503,0.2025399821160397,0.2245020307914654,0.22518163294617252,0.22072387966812765,0.22845198725633173,0.22237467083379545,0.13138838818254459
0.3381096373224413,0.27681691949218684,0.24964290794547273,0.25485265012657193,0.23479056943673488,0.2586885325467053,0.24370387723738043,0.2245880882353227,0.21205627516833986,0.16713838302151143,0.2580897318255024,0.25096183085973944,0.2587314854079136,0.22178360629908186,0.21747462754378258,0.3322382822255912,0.355416465311338,0.4041251797735532,0.37514323039301034,0.2715290943512914,0.2050702374235622,0.1820760212296278,0.18085074727186343,0.2020003450477673,0.21016313721977392,0.24320829605908145,0.23415490941983788,0.23121279997106575,0.23757605141697505,0.1911423280500768,0.2937475083327542,0.22736201976166434,0.18185905155376636,0.1936895080619774,0.19782655579937894,0.21991268208183912,0.20681820994277292,0.17499584511293764,0.1715649973594954,0.17398106650625608,0.19140096316719574,0.19944126820106176,0.22094231632394648,0.21309039563393045,0.19760984358149575,0.1939121216623661,0.17338921129376667,0.1890041612048995,0.22837164100723942,0.19727248299504693,0.18640604789571505,0.18149406586277347,0.1499129953655513,0.1632675323948574,0.16585066316717437,0.22357643017839623,0.2367518389361734,0.23207871509786215,0.220952290337526,0.1688764258810113,0.17706192174240734,0.17097061870118646,0.19092196561078803,0.1806710103219521,0.14763288853887002,0.18973189396350007,0.17309870115029832,0.1944561365925846,0.17961971890984996,0.19599892530222715,0.10858349151359024
0.3293969577786361,0.24911863196214512,0.23544235673170585,0.24000754571090782,0.21086545656824407,0.24742372412505023,0.23688643648262053,0.2187541973334001,0.20148666499315146,0.15839947345704938,0.24689959548772605,0.25096183085973944,0.23764855055806142,0.21765184349917716,0.21438503895513564,0.29802447536860527,0.3445553303760958,0.39908465853794545,0.356161062447182,0.23746368207267482,0.19897362436470922,0.17926356465150423,0.16910914114719083,0.18525076752970773,0.19606555291393188,0.23877440392505161,0.22189040293297366,0.22635008291124892,0.22347327147904983,0.17509337837870648,0.26986417871082763,0.2011094513620395,0.16517970818799607,0.16959655087469114,0.17161531852983988,0.17102608619893667,0.16569649741628817,0.1610969514152166,0.1515746745508224,0.14928694544093915,0.15547895346489102,0.17440475038850367,0.20325270936187934,0.19097204806182,0.17820079247601286,0.17471749588676166,0.1479414124132611,0.15278068735390704,0.17083907294831435,0.17593942287267222,0.16133632276854473,0.13581567116542936,0.1290054511336014,0.14563451725678256,0.15302912830839202,0.18772933828906627,0.19701144067255008,0.19318032953737638,0.16811446942943828,0.13581726826491403,0.17706192174240726,0.14801093336784932,0.14982225705092347,0.13387986332955226,0.14763288853887002,0.16350526747828165,0.16814196604047096,0.15448296023844957,0.1323360715551919,0.16134534008855986,0.09721974220592529
0.29661127396244263,0.24245515786170285,0.2219612083622949,0.22743769002390826,0.2032853809798344,0.23321325860517486,0.21994292213896888,0.19792392195188455,0.1877498149724486,0.1409550660545384,0.2340292312581549,0.23456109769730937,0.23170354708622667,0.2063451966043637,0.19558649589110647,0.2827766206465409,0.3140446284086905,0.362877752764298,0.3328986461830036,0.22566085479165598,0.19897362436470922,0.17152812970244097,0.1642590880896571,0.1794166078903249,0.18379241781146438,0.22766873283218364,0.21479260721335064,0.21763180145249789,0.20420691144025338,0.16917096165488038,0.25332765087417836,0.1898809194040281,0.15342073570211887,0.15488519068054102,0.15252211717442463,0.13012176969503572,0.126731996233215,0.12971139889075184,0.1263798965080533,0.12645145350608178,0.12872427223849228,0.13946139522124346,0.16124955528794435,0.1729589602058712,0.15576263450996103,0.13580389236720067,0.1099577591485931,0.12856877258376934,0.14199162623451553,0.16210123221196235,0.14410186209343462,0.11616400701657655,0.11550704377042328,0.11769193711717178,0.1097325153941615,0.1657798492217824,0.15525073233508524,0.1402484724517472,0.12037677843443119,0.11712980896449833,0.13062072823955612,0.12370558130626108,0.11318871466292613,0.1071500164888683,0.11047715677516524,0.12097650296493453,0.13652580824533853,0.13931073282543505,0.1323360715551919,0.1331439535619773,0.08341712543306955
0.2684843676526339,0.23068762899275957,0.2150560372377791,0.20703911928049148,0.19289687582553078,0.2105000827905891,0.20860106902880124,0.18521386867025014,0.1703386459869444,0.128359619876049,0.2153494223988276,0.23063989432155654,0.22067670820502225,0.2008024892782665,0.18383142834537072,0.2677101094738293,0.3025202250855467,0.32406817131484206,0.30506033794098625,0.21728147459118338,0.19313224076959326,0.16892675669554297,0.15292122060712487,0.17215510753047308,0.16713986468037761,0.22766873283218372,0.21029069458827856,0.2112749659684651,0.20250027609036558,0.16104856042412374,0.24653716742770865,0.1898809194040281,0.1534207357021189,0.14966301448342,0.13411865356559802,0.10671772550289835,0.1110971543858809,0.10712542219664625,0.11247239686876796,0.11296566025240184,0.12872427223849223,0.12873824281444005,0.1472120097242326,0.1486228360966013,0.12030341308867915,0.10744455794207117,0.10017274758189948,0.11623164766804737,0.13049518849056702,0.11808621467874907,0.11630691331395025,0.11616400701657656,0.11550704377042328,0.09878668122494706,0.10973251539416151,0.14287092700524565,0.12118667835108242,0.11198537906733069,0.10925963120023602,0.10169756623883426,0.11470748254933323,0.1206891524818516,0.0959450794148934,0.09700072780984184,0.09851740994629893,0.12097650296493453,0.11496204130287067,0.12331845912347879,0.11051801878782336,0.10735303553288864,0.0778822474663188
0.24611241127455194,0.21816458765579802,0.2008768996178603,0.20703911928049146,0.18544631540460815,0.20517501311761513,0.20296237422885766,0.17968308504262528,0.16346571124779255,0.1249458617514195,0.19516281159761723,0.20882628644097775,0.22067670820502217,0.19010027518358213,0.17781320703088715,0.2580366673453555,0.2952754284201117,0.32185171939521945,0.28830660103855693,0.203996332965013,0.18696999626213445,0.16892675669554297,0.14759944083444196,0.1692502042852936,0.158385036213718,0.21577466650629948,0.20702126886742447,0.20831701020110302,0.19135740698582793,0.16104856042412372,0.22945026675168773,0.1898809194040281,0.14865208817317396,0.14220191164943569,0.12475930777201663,0.09898478002020876,0.09159773524346368,0.07651527826690417,0.09760635928841349,0.09579826112729836,0.09824584949325231,0.11170236990238319,0.1236153992427108,0.12537508669682812,0.11416297915444719,0.08621845500850948,0.09838000252384958,0.10021751152139043,0.10328405813754815,0.11127590372860027,0.11089634565649671,0.10121609166560641,0.09495588068957658,0.09576137676012547,0.10328218139638334,0.13096630877117132,0.0913257124588832,0.09457729724907911,0.09764011241149066,0.07906706276532546,0.09691686064607474,0.08909350677947488,0.07410148472075019,0.08455598308054174,0.08650625753738965,0.0882385257128289,0.10226937274280895,0.12125080403766827,0.08570077254647156,0.08977371581080647,0.07336656645691783
