E_WND_N_CA_0_CA,E_WND_N_CA_1_CA,E_WND_N_CA_2_CA,E_WND_N_CA_3_CA,E_WND_N_CA_4_CA,E_SOLPVCEN_N_CA_0_CA,E_SOLPVCEN_N_CA_1_CA,E_SOLPVCEN_N_CA_2_CA,E_SOLPVCEN_N_CA_3_CA,E_SOLPVCEN_N_CA_4_CA,E_OFWND_N_1_CA,CA_med_bl_0_100,CA_med_bl_20_80,CA_med_bl_40_60,CA_med_bl_50_50,CA_med_bl_60_40,CA_med_bl_80_20,CA_med_bl_100_0,CA_mn_bl_0_100,CA_mn_bl_20_80,CA_mn_bl_40_60,CA_mn_bl_50_50,CA_mn_bl_60_40,CA_mn_bl_80_20,CA_mn_bl_100_0
5790.200000000001,5790.200000000001,5790.200000000001,5790.200000000001,5790.200000000001,10813.0,10813.0,10813.0,10813.0,10813.0,0.0,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2
6790.200000000001,6790.200000000001,6790.200000000001,6790.200000000001,6790.200000000001,11813.0,11813.0,11813.0,11813.0,11813.0,1000.0,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2
7790.200000000001,7790.200000000001,7790.200000000001,7790.200000000001,7790.200000000001,12813.0,12813.0,12813.0,12813.0,12813.0,2000.0,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2
