E_WND_N_CA_0_CA,E_WND_N_CA_1_CA,E_WND_N_CA_2_CA,E_WND_N_CA_3_CA,E_WND_N_CA_4_CA,E_SOLPVCEN_N_CA_0_CA,E_SOLPVCEN_N_CA_1_CA,E_SOLPVCEN_N_CA_2_CA,E_SOLPVCEN_N_CA_3_CA,E_SOLPVCEN_N_CA_4_CA,E_OFWND_N_1_CA,CA_med_bl_0_100,CA_med_bl_20_80,CA_med_bl_40_60,CA_med_bl_50_50,CA_med_bl_60_40,CA_med_bl_80_20,CA_med_bl_100_0,CA_mn_bl_0_100,CA_mn_bl_20_80,CA_mn_bl_40_60,CA_mn_bl_50_50,CA_mn_bl_60_40,CA_mn_bl_80_20,CA_mn_bl_100_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5
