MID_AT_WND 1,MID_AT_WND 2,MID_AT_WND 3,MID_AT_WND 4,MID_AT_WND 5,MID_AT_WND 6,MID_AT_WND 7,MID_AT_WND 8,MID_AT_WND 9,MID_AT_WND 10,MID_AT_WND 11,MID_AT_WND 12,MID_AT_WND 13,MID_AT_WND 14,MID_AT_WND 15,MID_AT_WND 16,MID_AT_WND 17,MID_AT_WND 18,MID_AT_WND 19,MID_AT_WND 20,MID_AT_WND 21,MID_AT_WND 22,MID_AT_WND 23,MID_AT_WND 24,MID_AT_WND 25,MID_AT_WND 26,MID_AT_WND 27,MID_AT_WND 28,MID_AT_WND 29,MID_AT_WND 30,MID_AT_WND 31,MID_AT_WND 32,MID_AT_WND 33,MID_AT_WND 34,MID_AT_WND 35,MID_AT_PV 1,MID_AT_PV 2,MID_AT_PV 3,MID_AT_PV 4,MID_AT_PV 5,MID_AT_PV 6,MID_AT_PV 7,MID_AT_PV 8,MID_AT_PV 9,MID_AT_PV 10,MID_AT_PV 11,MID_AT_PV 12,MID_AT_PV 13,MID_AT_PV 14,MID_AT_PV 15,MID_AT_PV 16,MID_AT_PV 17,MID_AT_PV 18,MID_AT_PV 19,MID_AT_PV 20,MID_AT_PV 21,MID_AT_PV 22,MID_AT_PV 23,MID_AT_PV 24,MID_AT_PV 25,MID_AT_PV 26,MID_AT_PV 27,MID_AT_PV 28,MID_AT_PV 29,MID_AT_PV 30,MID_AT_PV 31,MID_AT_PV 32,MID_AT_PV 33,MID_AT_PV 34,MID_AT_PV 35
0.17740691361853347,0.13497577393458107,0.15342886870882427,0.15413206937454413,0.1550399174408971,0.2897381749312163,0.20356156420131252,0.20849669495501763,0.2495922406558565,0.24919438052874093,0.3617271387956405,0.30540685189733563,0.31943288298001954,0.3147704068126924,0.2998260463135609,0.39166415493756324,0.3399908835231165,0.322821751927923,0.3167972955666049,0.3087531832961587,0.30952910446140874,0.26142663305263325,0.24899541957646068,0.23235597499321184,0.24411102404302681,0.3045321764081303,0.25412370305523935,0.1994594309804895,0.17116373507349006,0.15791342974568973,0.26549292184799955,0.16285873989147978,0.16163501707490396,0.1813021972417943,0.1981728157005563,0.6186454753786634,0.611386276456164,0.6401001335181578,0.6429305079536579,0.6472688351213364,0.6700143573723074,0.6593708300337507,0.6309556080741393,0.6072972766436443,0.5718543672360948,0.6559733575658732,0.6503681951121242,0.6462152177875501,0.6539412351520993,0.6556121686826546,0.646917995752314,0.6446792001655132,0.6317271761113302,0.6048536768295738,0.5754016812220518,0.6047445965252414,0.6160193792727755,0.6325751299317354,0.6453550117078212,0.6505589164382342,0.6366673439156395,0.6381702358772584,0.6356414588933917,0.6316326876111307,0.6352011608036425,0.6735489179288109,0.6535944407350497,0.6560980720056331,0.6544501235279061,0.6638984691866276
0.17364351304249434,0.1298805698393981,0.1474631934568202,0.14818231454002043,0.14882536655892684,0.28311887993284635,0.19466911666048464,0.2024797478283377,0.24317897762519236,0.2437682332355832,0.36172713879564056,0.296883099503311,0.3044648923055927,0.3147704068126923,0.29159105839313737,0.38661334415327203,0.3375357375077997,0.32104823879284644,0.3167972955666049,0.3087531832961587,0.2944073789264687,0.2552973151747583,0.23982472949968886,0.22180510151206975,0.23416826347431535,0.2827552101518704,0.23481842857884128,0.19078542893341757,0.16376262703840413,0.1498246640024694,0.24964044390297704,0.15544704916119403,0.14870743622124544,0.17472404563085514,0.1920885220920616,0.6014925890140979,0.6040178489039318,0.6217971068385744,0.6355353638419113,0.6399654686354069,0.6492174022756662,0.6390550324979835,0.6111993946200853,0.59267168995838,0.5631170370292966,0.6450073757026791,0.639522382434313,0.6462152177875501,0.6472998069129665,0.6465485616460868,0.6313429413081492,0.6246116943403048,0.6117275682921978,0.5942764823118635,0.5648424635946772,0.6047445965252414,0.6160193792727755,0.6325751299317353,0.6453550117078211,0.6505589164382342,0.61916714815137,0.6142053320823853,0.6111873383898729,0.610056495225661,0.6139800039685549,0.6530162917944479,0.6425909519285145,0.6450995631848825,0.6433187220762695,0.651806265861767
0.16890494478733561,0.12096890469565295,0.1436980073427582,0.14818231454002043,0.14882536655892684,0.27884109067715485,0.1900628863232917,0.19658189229684953,0.23791759178789462,0.23810133685533133,0.3521075908262918,0.296883099503311,0.3002860696117405,0.29923735271627294,0.2839253583905144,0.37430410036100287,0.32281896169889807,0.30756268298047995,0.30736727719900836,0.2990829883129128,0.28331711988524627,0.2507526834132032,0.23513628856992155,0.21678186465659866,0.21739926177075794,0.26866539224446323,0.22625792343518705,0.17107653034532086,0.1563569446691719,0.14545167429371242,0.24371525945675931,0.15544704916119403,0.14870743622124544,0.16941562956319087,0.18725441295998405,0.5896313367059822,0.5925405586424712,0.6111231620951769,0.62322141587255,0.629530676779936,0.6492174022756662,0.6390550324979837,0.6038570112123921,0.5784887227672204,0.5509029754047198,0.645007375702679,0.639522382434313,0.6301501628297903,0.628331960246788,0.6274352668809503,0.6261452626116288,0.6246116943403048,0.6117275682921978,0.5942764823118633,0.564842463594677,0.5947216953976407,0.6007410043707481,0.6171244744113825,0.6350453457866779,0.6337554350985893,0.6054063174213057,0.603867870725734,0.6006142711781499,0.5993690566020056,0.6032162481863134,0.6530162917944479,0.6425909519285145,0.6414157828303766,0.6427897644205346,0.651806265861767
0.16890494478733561,0.12096890469565295,0.13870685788706022,0.1443111334533952,0.14533771325282008,0.2732758448679684,0.19006288632329169,0.19190736087071777,0.23200439616937152,0.22836816458725342,0.3463718235143415,0.28613505615188,0.29753760332893076,0.2992373527162729,0.2767042295414175,0.3687140383494901,0.31653246122659906,0.30099908465735353,0.2960362559201777,0.2874440736264581,0.2785333882149807,0.2467971973218863,0.23299092530341414,0.21678186465659866,0.21559255992581228,0.2596325890733437,0.22079425675493983,0.1710765303453208,0.14484456984995367,0.1358376066633575,0.2303402461758618,0.14224024970305107,0.1365755334529143,0.1658263358739688,0.18216507318808087,0.5816103065431105,0.5851573739477739,0.6089099391505698,0.6204727277086634,0.6268823320641196,0.6399945949540085,0.6205956848908109,0.5949724662326754,0.5680418626415388,0.5324835015356062,0.6374807859744688,0.630512509384525,0.6208056044346887,0.628331960246788,0.6219806094662614,0.6261452626116288,0.6225171695065761,0.6117275682921979,0.5942764823118635,0.564842463594677,0.5908043426721269,0.6007410043707481,0.6103919103246929,0.6302964634414429,0.6337554350985894,0.5974600119822011,0.6038678707257341,0.6006142711781498,0.5993690566020057,0.6032162481863134,0.6449339827373256,0.6384776339596014,0.6414157828303766,0.6390012562362709,0.6395084605682428
0.16501437805103114,0.12096890469565295,0.13465861351472005,0.1405714786324706,0.13545928206287478,0.2673102052435906,0.18651374470365364,0.19190736087071777,0.21999403558526232,0.21290396822775917,0.3418132450870635,0.2806824144049195,0.2879316987068071,0.29066538279304227,0.26580637143194874,0.3640232089204457,0.31368690358560974,0.29814102755464367,0.2921881567877749,0.28744407362645813,0.2700247898621618,0.24184397253403356,0.23012109729182667,0.21510367149469134,0.21559255992581233,0.25162612121659894,0.20805122716678331,0.15891271527454418,0.1348407421082973,0.11876573292508252,0.2303402461758618,0.13204100332605936,0.13657553345291426,0.15795149011333368,0.17832641132127663,0.5816103065431105,0.5851573739477738,0.603429747438306,0.6196161792735638,0.6268823320641196,0.6268329363015712,0.615929716821283,0.5850821124903035,0.559185284061702,0.5304611721552669,0.625737957226309,0.626654966257485,0.6154871074266749,0.6283319602467878,0.62044082109469,0.618008748116524,0.6167348779089038,0.6042500356124414,0.5889045485388299,0.5648424635946769,0.5862728619409415,0.5947258928229229,0.6103919103246929,0.6221714481315429,0.6277345421084799,0.5974600119822011,0.596654933675194,0.5938023193391664,0.5926990723422517,0.5960235375492593,0.6334089627554518,0.6230143476570065,0.624939290718774,0.6298614401831221,0.6395084605682431
0.15882318520436314,0.11720304275997087,0.12978450952580045,0.13304924376586838,0.13545928206287478,0.26235282128829307,0.1780739121248219,0.17898106589227122,0.21030062462649757,0.19971111407437536,0.33680827564278354,0.27107808658645516,0.2749530731965417,0.28143035901861263,0.2571659616423851,0.34651911908043215,0.3056917857163033,0.2918873833394359,0.2811252473569952,0.26922943927974646,0.25972233737071854,0.23978775684053671,0.2252132773846655,0.20787748366651868,0.20655145282184462,0.24828112125584165,0.20805122716678331,0.15891271527454418,0.12819001331235721,0.10926666356970618,0.226225577875544,0.1236730745521278,0.12679944432804433,0.15039974962121186,0.17112529473218788,0.569832769695854,0.5739460911635045,0.5930735153202048,0.6039437023105256,0.6113479827291856,0.6057105338072621,0.5960561219777738,0.5735067009122347,0.5591852840617019,0.530461172155267,0.6138243789061223,0.6074635985989918,0.6154871074266749,0.623530577219702,0.6103030486831186,0.6061532848538493,0.6050025701202425,0.586233322061552,0.5790802687209157,0.5530369710648066,0.5797921141016807,0.583310788159267,0.6083085599812409,0.6221714481315429,0.6261753108555053,0.5861779800620902,0.5856184785653938,0.5938023193391663,0.5926990723422517,0.5960235375492594,0.6177632875091461,0.602464655999512,0.610685783622719,0.6151862007375002,0.6182347457669892
0.15425927915116505,0.11311815408414051,0.1274269190994309,0.132019711014964,0.13291278852480304,0.2551281796675348,0.1711933478336158,0.1760635182649762,0.21030062462649757,0.19638668675641832,0.3299372377261857,0.2668417436736304,0.2656224063108538,0.2609926903544432,0.24652351964761285,0.3465191190804322,0.29558769425322623,0.2815263580583536,0.2673162628934535,0.25866154434505,0.25670248487754743,0.23978775684053666,0.21783757754367783,0.1996914733998766,0.1973535247211543,0.23691156955753162,0.19562304561053337,0.14943525521651224,0.11884361248284116,0.10275276328443686,0.2179902720553369,0.11495366716232829,0.11890320539655659,0.1435779199249797,0.16609999623699434,0.5584756897634257,0.5647853204636823,0.5832566184185337,0.5939792233746409,0.6011665354505004,0.5961731234021749,0.5772282670618065,0.5454977654135613,0.5404806184085341,0.512042235899214,0.6024771624478067,0.5889037172656462,0.5832005013894757,0.6032523355198997,0.5982760917285476,0.6061532848538493,0.5888144450388667,0.5734400383759568,0.5697690899139111,0.5355818742142293,0.5706103317730141,0.583310788159267,0.5991318757461291,0.6085246836325348,0.6167794192140272,0.5739843240507061,0.5737761795538916,0.5723457592948624,0.582132813466672,0.5755618917380722,0.6025616772221193,0.5949847228802446,0.5951093298190147,0.6028445001054245,0.6107102440577327
0.1479468125758296,0.10335416010625802,0.1274269190994309,0.12549342695034177,0.12310162554860128,0.2551281796675347,0.17119334783361584,0.1760635182649762,0.20210202733969085,0.18955540903122203,0.3248314595362079,0.26684174367363034,0.2592882552207599,0.2609926903544433,0.24652351964761285,0.33906510641269977,0.2902029931539026,0.273270660507755,0.2673162628934535,0.25866154434505,0.2567024848775475,0.23713278782044464,0.2178375775436778,0.19147579924187438,0.1885807601801533,0.22272483349740232,0.1856836322336453,0.146461426579802,0.1124748758383014,0.09513089976272944,0.21077020631602786,0.10633518147949056,0.10626148121692303,0.1435779199249797,0.16609999623699429,0.5398759974903845,0.5419675031302661,0.5548854614893329,0.5720018652021276,0.5783314393889819,0.5777917157290705,0.565857065473935,0.5343046741092221,0.5193493693370805,0.49143134579511333,0.595045093312667,0.5692038169532255,0.5643976030733315,0.5839792519740481,0.5786472319481463,0.5850718724138483,0.5786629093442504,0.5662571232859998,0.5591055284197706,0.5355818742142294,0.5524529446366842,0.5619924871548924,0.5777619793628693,0.5997779769348203,0.595597722731755,0.5550629862945969,0.5545530333581045,0.5524556562038804,0.5506669554997312,0.5428179690268818,0.5905379801533359,0.5832371656091699,0.5908157845068088,0.6028445001054245,0.5988296999753954
0.14794681257582964,0.10335416010625803,0.12313168280849625,0.12549342695034177,0.12310162554860127,0.2551281796675347,0.1590239737158617,0.16535768820202087,0.19775060572779457,0.18304665989846589,0.31780819593006504,0.2598083954952256,0.251812455863772,0.2609926903544433,0.2465235196476129,0.33906510641269977,0.2902029931539025,0.2719692195665613,0.26731626289345345,0.25866154434505,0.2548234027065576,0.23385482411598016,0.2130974538304078,0.1858485244001264,0.1885807601801533,0.21200824741465904,0.17494729003009293,0.13092706831875583,0.1124748758383014,0.09333444649023385,0.20075960207522744,0.10633518147949056,0.10479620209255859,0.13763566948501765,0.1612687450932505,0.5168505968154387,0.5288686984329626,0.5527760245857729,0.5643486264132758,0.5648970661021866,0.5543722819323659,0.5425616314446314,0.510944930285153,0.4888681408610731,0.46743064462347145,0.5717820697085609,0.5692038169532254,0.5541070815724359,0.5553010473062594,0.5598647144475069,0.5553520464291145,0.5576670001278323,0.5474987105418757,0.5398022315344455,0.501771718546919,0.5302884082307856,0.5459919134636229,0.5587655655837931,0.5689399670843863,0.5731553501605589,0.5459234180438941,0.5463307916780945,0.5431661898737238,0.5424694603172421,0.5428179690268817,0.5794485899141385,0.572204874302925,0.5717832470261165,0.5802438429252643,0.582190227203781
0.14794681257582962,0.10335416010625803,0.12313168280849628,0.12549342695034177,0.12310162554860128,0.252705158889572,0.15384793105252476,0.16535768820202087,0.19254050006832654,0.18304665989846589,0.3096981771040206,0.25079693450036417,0.25181245586377193,0.2609926903544433,0.2465235196476129,0.33906510641269977,0.2881445240695131,0.2719692195665613,0.2673162628934534,0.24987405357513995,0.2520236773814725,0.23241703127228627,0.2130974538304078,0.1805674722138159,0.17492919117743877,0.21200824741465904,0.17200656256043878,0.1309270683187558,0.10245379104149074,0.09333444649023385,0.195487288288825,0.10633518147949057,0.10479620209255856,0.13123701718759115,0.15807232189162135,0.503322468734053,0.5288686984329626,0.5371636321399594,0.5467146891936346,0.5479107810817746,0.5387776146939631,0.5212660192939634,0.48988307524690394,0.4767981945188592,0.44115062040563313,0.55258385554776,0.5408466200230768,0.5364937441817373,0.552717970065462,0.5502937865935164,0.5553520464291144,0.5499497796037501,0.53620316678286,0.5309144875418346,0.5017717185469189,0.5235956306922676,0.5409554061101002,0.5519165553214407,0.5619047876159136,0.5638727792860466,0.5370176631022521,0.543687042104559,0.5431661898737238,0.53989592477388,0.5337717204394924,0.5524129476387195,0.5452104053890786,0.5430128558541923,0.5652236687558526,0.5703490184417193
