E_WND_N_NC_0_SE,E_WND_N_NC_1_SE,E_WND_N_NC_2_SE,E_WND_N_NC_3_SE,E_WND_N_NC_4_SE,E_WND_N_GA_0_SE,E_WND_N_GA_1_SE,E_WND_N_GA_2_SE,E_WND_N_GA_3_SE,E_WND_N_GA_4_SE,E_WND_N_KY_0_SE,E_WND_N_KY_1_SE,E_WND_N_KY_2_SE,E_WND_N_KY_3_SE,E_WND_N_KY_4_SE,E_WND_N_SC_0_SE,E_WND_N_SC_1_SE,E_WND_N_SC_2_SE,E_WND_N_SC_3_SE,E_WND_N_SC_4_SE,E_WND_N_MS_0_SE,E_WND_N_MS_1_SE,E_WND_N_MS_2_SE,E_WND_N_MS_3_SE,E_WND_N_MS_4_SE,E_WND_N_AL_0_SE,E_WND_N_AL_1_SE,E_WND_N_AL_2_SE,E_WND_N_AL_3_SE,E_WND_N_AL_4_SE,E_WND_N_TN_0_SE,E_WND_N_TN_1_SE,E_WND_N_TN_2_SE,E_WND_N_TN_3_SE,E_WND_N_TN_4_SE,E_WND_N_FL_0_SE,E_WND_N_FL_1_SE,E_WND_N_FL_2_SE,E_WND_N_FL_3_SE,E_WND_N_FL_4_SE,E_SOLPVCEN_N_NC_0_SE,E_SOLPVCEN_N_NC_1_SE,E_SOLPVCEN_N_NC_2_SE,E_SOLPVCEN_N_NC_3_SE,E_SOLPVCEN_N_NC_4_SE,E_SOLPVCEN_N_FL_0_SE,E_SOLPVCEN_N_FL_1_SE,E_SOLPVCEN_N_FL_2_SE,E_SOLPVCEN_N_FL_3_SE,E_SOLPVCEN_N_FL_4_SE,E_SOLPVCEN_N_TN_0_SE,E_SOLPVCEN_N_TN_1_SE,E_SOLPVCEN_N_TN_2_SE,E_SOLPVCEN_N_TN_3_SE,E_SOLPVCEN_N_TN_4_SE,E_SOLPVCEN_N_AL_0_SE,E_SOLPVCEN_N_AL_1_SE,E_SOLPVCEN_N_AL_2_SE,E_SOLPVCEN_N_AL_3_SE,E_SOLPVCEN_N_AL_4_SE,E_SOLPVCEN_N_MS_0_SE,E_SOLPVCEN_N_MS_1_SE,E_SOLPVCEN_N_MS_2_SE,E_SOLPVCEN_N_MS_3_SE,E_SOLPVCEN_N_MS_4_SE,E_SOLPVCEN_N_SC_0_SE,E_SOLPVCEN_N_SC_1_SE,E_SOLPVCEN_N_SC_2_SE,E_SOLPVCEN_N_SC_3_SE,E_SOLPVCEN_N_SC_4_SE,E_SOLPVCEN_N_KY_0_SE,E_SOLPVCEN_N_KY_1_SE,E_SOLPVCEN_N_KY_2_SE,E_SOLPVCEN_N_KY_3_SE,E_SOLPVCEN_N_KY_4_SE,E_SOLPVCEN_N_GA_0_SE,E_SOLPVCEN_N_GA_1_SE,E_SOLPVCEN_N_GA_2_SE,E_SOLPVCEN_N_GA_3_SE,E_SOLPVCEN_N_GA_4_SE,SE_med_bl_0_100,SE_med_bl_20_80,SE_med_bl_40_60,SE_med_bl_50_50,SE_med_bl_60_40,SE_med_bl_80_20,SE_med_bl_100_0,SE_mn_bl_0_100,SE_mn_bl_20_80,SE_mn_bl_40_60,SE_mn_bl_50_50,SE_mn_bl_60_40,SE_mn_bl_80_20,SE_mn_bl_100_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,1.0,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
