E_WND_N_TX_0_TX,E_WND_N_TX_1_TX,E_WND_N_TX_2_TX,E_WND_N_TX_3_TX,E_WND_N_TX_4_TX,E_SOLPVCEN_N_TX_0_TX,E_SOLPVCEN_N_TX_1_TX,E_SOLPVCEN_N_TX_2_TX,E_SOLPVCEN_N_TX_3_TX,E_SOLPVCEN_N_TX_4_TX,TX_med_bl_0_100,TX_med_bl_20_80,TX_med_bl_40_60,TX_med_bl_50_50,TX_med_bl_60_40,TX_med_bl_80_20,TX_med_bl_100_0,TX_mn_bl_0_100,TX_mn_bl_20_80,TX_mn_bl_40_60,TX_mn_bl_50_50,TX_mn_bl_60_40,TX_mn_bl_80_20,TX_mn_bl_100_0
0.5,0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5,0.5,1.0,0.5,0.5,0.5,1.0,0.5
