Counter,id,operational_status,capacity_mw,technology_description,OEO_region
880,3382,existing,71.2,Natural Gas Fired Combustion Turbine,TX
881,3383,existing,71.2,Natural Gas Fired Combustion Turbine,TX
882,3384,existing,0.8,Other Waste Biomass,NW
883,3385,existing,0.8,Other Waste Biomass,NW
892,3398,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
893,3399,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
894,3400,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
895,3401,existing,9.7,Natural Gas Internal Combustion Engine,N_CEN
899,3408,existing,1.2,Other Waste Biomass,CA
903,3421,existing,1.6,Landfill Gas,SE
904,3422,existing,1.6,Landfill Gas,SE
909,3427,existing,2,Petroleum Liquids,MID_AT
910,3428,existing,2,Petroleum Liquids,MID_AT
911,3429,existing,2,Petroleum Liquids,MID_AT
912,3430,existing,2,Petroleum Liquids,MID_AT
913,3431,existing,2,Petroleum Liquids,MID_AT
914,3432,existing,2,Petroleum Liquids,MID_AT
925,3443,existing,1.1,Other Natural Gas,CA
926,3444,existing,1.1,Other Natural Gas,CA
927,3445,existing,0.3,Landfill Gas,SE
928,3446,existing,0.3,Landfill Gas,SE
929,3447,existing,0.3,Landfill Gas,SE
930,3448,existing,0.3,Landfill Gas,SE
931,3449,existing,0.3,Landfill Gas,SE
932,3450,existing,0.3,Landfill Gas,SE
933,3451,existing,0.3,Landfill Gas,SE
934,3452,existing,0.3,Landfill Gas,SE
935,3453,existing,0.3,Landfill Gas,SE
936,3454,existing,0.3,Landfill Gas,SE
937,3455,existing,0.3,Landfill Gas,SE
938,3456,existing,0.3,Landfill Gas,SE
939,3457,existing,0.3,Landfill Gas,SE
940,3458,existing,0.3,Landfill Gas,SE
941,3459,existing,0.3,Landfill Gas,SE
942,3460,existing,0.3,Landfill Gas,SE
943,3461,existing,0.3,Landfill Gas,SE
944,3462,existing,0.3,Landfill Gas,SE
945,3465,existing,0.8,Other Waste Biomass,CA
946,3466,existing,0.8,Other Waste Biomass,CA
972,3509,existing,1.4,Landfill Gas,SE
973,3510,existing,1.4,Landfill Gas,SE
988,3555,existing,1,Landfill Gas,MID_AT
995,3562,existing,1.6,Natural Gas Internal Combustion Engine,NW
996,3563,existing,1.6,Natural Gas Internal Combustion Engine,NW
997,3564,existing,1.6,Natural Gas Internal Combustion Engine,NW
998,3565,existing,1.6,Natural Gas Internal Combustion Engine,NW
999,3566,existing,1.6,Natural Gas Internal Combustion Engine,NW
1007,3577,existing,508.5,Natural Gas Fired Combined Cycle,TX
1008,3578,existing,360.9,Natural Gas Fired Combined Cycle,TX
1009,3579,existing,360.9,Natural Gas Fired Combined Cycle,TX
1011,3581,existing,1.4,Other Natural Gas,CA
1022,3592,existing,3.4,Other Natural Gas,NE
1028,3598,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
1029,3599,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
1030,3600,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
1031,3601,existing,0.8,Natural Gas Internal Combustion Engine,N_CEN
1087,3668,existing,2.8,Other Natural Gas,NE
1098,3680,existing,2.8,Other Natural Gas,NE
1108,3693,existing,21,Natural Gas Fired Combustion Turbine,SE
1161,3755,existing,1.4,Other Natural Gas,NE
1162,3756,existing,1.2,Other Natural Gas,NE
1177,3772,existing,1.6,Landfill Gas,CA
1178,3773,existing,1.6,Landfill Gas,CA
1179,3774,existing,1.6,Landfill Gas,CA
1180,3775,existing,1.6,Landfill Gas,CA
1181,3776,existing,1.6,Landfill Gas,CA
1197,3793,existing,8.5,Natural Gas Internal Combustion Engine,TX
1198,3794,existing,8.5,Natural Gas Internal Combustion Engine,TX
1199,3795,existing,8.5,Natural Gas Internal Combustion Engine,TX
1200,3796,existing,8.5,Natural Gas Internal Combustion Engine,TX
1201,3797,existing,8.5,Natural Gas Internal Combustion Engine,TX
1202,3798,existing,8.5,Natural Gas Internal Combustion Engine,TX
1206,3804,existing,1.1,Other Waste Biomass,N_CEN
1207,3805,existing,1.1,Other Waste Biomass,N_CEN
1212,3810,existing,226.9,Natural Gas Fired Combustion Turbine,N_CEN
1213,3811,existing,226.9,Natural Gas Fired Combustion Turbine,N_CEN
1219,3829,existing,663.9,Natural Gas Fired Combined Cycle,MID_AT
1220,3830,existing,369.8,Natural Gas Fired Combined Cycle,MID_AT
1221,3831,existing,369.8,Natural Gas Fired Combined Cycle,MID_AT
1222,3832,existing,369.8,Natural Gas Fired Combined Cycle,MID_AT
1226,3839,existing,529,Natural Gas Fired Combined Cycle,MID_AT
1227,3840,existing,529,Natural Gas Fired Combined Cycle,MID_AT
1240,3865,existing,1.4,Other Waste Biomass,CA
1254,3882,existing,15,Natural Gas Fired Combustion Turbine,MID_AT
1266,3894,existing,1.1,Natural Gas Internal Combustion Engine,N_CEN
1267,3895,existing,1.1,Natural Gas Internal Combustion Engine,N_CEN
1268,3896,existing,1.1,Natural Gas Internal Combustion Engine,N_CEN
1269,3897,existing,1.1,Natural Gas Internal Combustion Engine,N_CEN
1271,3899,existing,0.3,Landfill Gas,MID_AT
1272,3900,existing,0.3,Landfill Gas,MID_AT
1273,3901,existing,0.3,Landfill Gas,MID_AT
1274,3902,existing,0.3,Landfill Gas,MID_AT
1275,3903,existing,0.3,Landfill Gas,MID_AT
1276,3904,existing,0.3,Landfill Gas,MID_AT
1277,3905,existing,0.3,Landfill Gas,MID_AT
1278,3906,existing,0.3,Landfill Gas,MID_AT
1279,3907,existing,0.3,Landfill Gas,MID_AT
1280,3908,existing,0.3,Landfill Gas,MID_AT
1281,3909,existing,0.3,Landfill Gas,MID_AT
1282,3910,existing,0.3,Landfill Gas,MID_AT
1283,3911,existing,0.3,Landfill Gas,MID_AT
1284,3912,existing,0.3,Landfill Gas,MID_AT
1285,3913,existing,0.3,Landfill Gas,MID_AT
1286,3914,existing,0.3,Landfill Gas,MID_AT
1287,3915,existing,0.3,Landfill Gas,MID_AT
1288,3916,existing,0.3,Landfill Gas,MID_AT
1318,3948,existing,4,Landfill Gas,NE
1319,3949,existing,3.2,Landfill Gas,NE
1322,3952,existing,511.2,Natural Gas Fired Combined Cycle,TX
1323,3953,existing,360,Natural Gas Fired Combined Cycle,TX
1324,3954,existing,360,Natural Gas Fired Combined Cycle,TX
1326,3956,existing,0.7,Other Waste Biomass,N_CEN
1327,3957,existing,0.7,Other Waste Biomass,N_CEN
1328,3958,existing,1.8,Petroleum Liquids,SE
1329,3959,existing,1.8,Petroleum Liquids,SE
