Counter,id,operational_status,capacity_mw,technology_description,OEO_region
5411,8905,existing,0.3,Landfill Gas,MID_AT
5412,8906,existing,0.3,Landfill Gas,MID_AT
5413,8907,existing,0.3,Landfill Gas,MID_AT
5414,8908,existing,0.3,Landfill Gas,MID_AT
5415,8909,existing,0.3,Landfill Gas,MID_AT
5416,8910,existing,0.3,Landfill Gas,MID_AT
5417,8911,existing,0.3,Landfill Gas,MID_AT
5418,8912,existing,0.3,Landfill Gas,MID_AT
5419,8913,existing,0.3,Landfill Gas,MID_AT
5420,8914,existing,0.3,Landfill Gas,MID_AT
5421,8915,existing,0.3,Landfill Gas,MID_AT
5422,8916,existing,0.3,Landfill Gas,MID_AT
5423,8917,existing,0.3,Landfill Gas,MID_AT
5424,8918,existing,0.3,Landfill Gas,MID_AT
5425,8919,existing,0.3,Landfill Gas,MID_AT
5426,8920,existing,0.3,Landfill Gas,MID_AT
5427,8921,existing,0.3,Landfill Gas,MID_AT
5428,8922,existing,0.3,Landfill Gas,MID_AT
5429,8923,existing,0.3,Landfill Gas,MID_AT
5430,8924,existing,0.3,Landfill Gas,MID_AT
5431,8925,existing,0.3,Landfill Gas,MID_AT
5432,8926,existing,0.3,Landfill Gas,MID_AT
5433,8927,existing,0.3,Landfill Gas,MID_AT
5434,8928,existing,0.3,Landfill Gas,MID_AT
5435,8929,existing,0.3,Landfill Gas,MID_AT
5436,8930,existing,0.3,Landfill Gas,MID_AT
5437,8931,existing,0.3,Landfill Gas,MID_AT
5438,8932,existing,0.3,Landfill Gas,MID_AT
5439,8933,existing,0.3,Landfill Gas,MID_AT
5440,8934,existing,0.3,Landfill Gas,MID_AT
5441,8935,existing,0.3,Landfill Gas,MID_AT
5442,8936,existing,0.3,Landfill Gas,MID_AT
5443,8937,existing,0.3,Landfill Gas,MID_AT
5444,8938,existing,0.3,Landfill Gas,MID_AT
5445,8939,existing,0.3,Landfill Gas,MID_AT
5446,8940,existing,0.3,Landfill Gas,MID_AT
5447,8941,existing,0.3,Landfill Gas,MID_AT
5448,8942,existing,0.3,Landfill Gas,MID_AT
5449,8943,existing,0.3,Landfill Gas,MID_AT
5450,8944,existing,0.3,Landfill Gas,MID_AT
5451,8945,existing,0.3,Landfill Gas,MID_AT
5452,8946,existing,0.3,Landfill Gas,MID_AT
5453,8947,existing,0.3,Landfill Gas,MID_AT
5454,8948,existing,0.3,Landfill Gas,MID_AT
5455,8949,existing,0.3,Landfill Gas,MID_AT
5456,8950,existing,0.3,Landfill Gas,MID_AT
5457,8951,existing,0.3,Landfill Gas,MID_AT
5458,8952,existing,0.3,Landfill Gas,MID_AT
5459,8953,existing,0.3,Landfill Gas,MID_AT
5460,8954,existing,0.3,Landfill Gas,MID_AT
5461,8955,existing,0.3,Landfill Gas,MID_AT
5462,8956,existing,0.3,Landfill Gas,MID_AT
5463,8957,existing,0.3,Landfill Gas,MID_AT
5464,8958,existing,0.3,Landfill Gas,MID_AT
5465,8959,existing,0.3,Landfill Gas,MID_AT
5466,8960,existing,0.3,Landfill Gas,MID_AT
5467,8961,existing,0.3,Landfill Gas,MID_AT
5468,8962,existing,0.3,Landfill Gas,MID_AT
5469,8963,existing,0.3,Landfill Gas,MID_AT
5470,8964,existing,0.3,Landfill Gas,MID_AT
5471,8965,existing,0.3,Landfill Gas,MID_AT
5472,8966,existing,0.3,Landfill Gas,MID_AT
5473,8967,existing,0.3,Landfill Gas,MID_AT
5474,8968,existing,0.3,Landfill Gas,MID_AT
5475,8969,existing,0.3,Landfill Gas,MID_AT
5476,8970,existing,0.3,Landfill Gas,MID_AT
5477,8971,existing,0.3,Landfill Gas,MID_AT
5478,8972,existing,0.3,Landfill Gas,MID_AT
5479,8973,existing,0.3,Landfill Gas,MID_AT
5480,8974,existing,0.3,Landfill Gas,MID_AT
5481,8975,existing,0.3,Landfill Gas,MID_AT
5482,8976,existing,0.3,Landfill Gas,MID_AT
5483,8977,existing,0.3,Landfill Gas,MID_AT
5484,8978,existing,0.3,Landfill Gas,MID_AT
5485,8979,existing,0.3,Landfill Gas,MID_AT
5486,8980,existing,0.3,Landfill Gas,MID_AT
5487,8981,existing,0.3,Landfill Gas,MID_AT
5488,8982,existing,0.3,Landfill Gas,MID_AT
5489,8983,existing,0.3,Landfill Gas,MID_AT
5490,8984,existing,0.3,Landfill Gas,MID_AT
5491,8985,existing,0.3,Landfill Gas,MID_AT
5492,8986,existing,0.3,Landfill Gas,MID_AT
5493,8987,existing,0.3,Landfill Gas,MID_AT
5494,8988,existing,0.3,Landfill Gas,MID_AT
5495,8989,existing,0.3,Landfill Gas,MID_AT
5496,8990,existing,0.3,Landfill Gas,MID_AT
5497,8991,existing,0.3,Landfill Gas,MID_AT
5498,8992,existing,0.3,Landfill Gas,MID_AT
5499,8993,existing,0.3,Landfill Gas,MID_AT
5500,8994,existing,0.3,Landfill Gas,MID_AT
5501,8995,existing,0.3,Landfill Gas,MID_AT
5502,8996,existing,0.3,Landfill Gas,MID_AT
5503,8997,existing,0.3,Landfill Gas,MID_AT
5504,8998,existing,0.3,Landfill Gas,MID_AT
5505,8999,existing,0.3,Landfill Gas,MID_AT
5506,9000,existing,0.3,Landfill Gas,MID_AT
5507,9001,existing,0.3,Landfill Gas,MID_AT
5508,9002,existing,0.3,Landfill Gas,MID_AT
5509,9003,existing,0.3,Landfill Gas,MID_AT
5510,9004,existing,0.3,Landfill Gas,MID_AT
5511,9005,existing,0.3,Landfill Gas,MID_AT
5512,9006,existing,0.3,Landfill Gas,MID_AT
5513,9007,existing,0.3,Landfill Gas,MID_AT
5514,9008,existing,0.3,Landfill Gas,MID_AT
5515,9009,existing,0.3,Landfill Gas,MID_AT
5516,9010,existing,0.3,Landfill Gas,MID_AT
5517,9011,existing,0.3,Landfill Gas,MID_AT
5518,9012,existing,0.3,Landfill Gas,MID_AT
5519,9013,existing,0.3,Landfill Gas,MID_AT
5520,9014,existing,0.3,Landfill Gas,MID_AT
5521,9015,existing,0.3,Landfill Gas,MID_AT
5522,9016,existing,0.3,Landfill Gas,MID_AT
5523,9017,existing,0.3,Landfill Gas,MID_AT
5524,9018,existing,0.3,Landfill Gas,MID_AT
5525,9019,existing,0.3,Landfill Gas,MID_AT
5526,9020,existing,0.3,Landfill Gas,MID_AT
5527,9021,existing,0.3,Landfill Gas,MID_AT
5528,9022,existing,0.3,Landfill Gas,MID_AT
5529,9023,existing,0.3,Landfill Gas,MID_AT
5530,9024,existing,0.3,Landfill Gas,MID_AT
5531,9025,existing,0.3,Landfill Gas,MID_AT
5532,9026,existing,0.3,Landfill Gas,MID_AT
5533,9027,existing,0.3,Landfill Gas,MID_AT
5534,9028,existing,0.3,Landfill Gas,MID_AT
5535,9029,existing,0.3,Landfill Gas,MID_AT
5536,9030,existing,0.3,Landfill Gas,MID_AT
5537,9031,existing,0.3,Landfill Gas,MID_AT
5538,9032,existing,0.3,Landfill Gas,MID_AT
5539,9033,existing,0.3,Landfill Gas,MID_AT
5540,9034,existing,0.3,Landfill Gas,MID_AT
5541,9035,existing,0.3,Landfill Gas,MID_AT
5542,9036,existing,0.3,Landfill Gas,MID_AT
5543,9037,existing,0.3,Landfill Gas,MID_AT
5544,9038,existing,0.3,Landfill Gas,MID_AT
5545,9039,existing,0.3,Landfill Gas,MID_AT
5546,9040,existing,0.3,Landfill Gas,MID_AT
5547,9041,existing,0.3,Landfill Gas,MID_AT
5548,9042,existing,0.3,Landfill Gas,MID_AT
5549,9043,existing,0.3,Landfill Gas,MID_AT
5550,9044,existing,0.3,Landfill Gas,MID_AT
5551,9045,existing,0.3,Landfill Gas,MID_AT
5552,9046,existing,0.3,Landfill Gas,MID_AT
5553,9047,existing,0.3,Landfill Gas,MID_AT
5554,9048,existing,0.3,Landfill Gas,MID_AT
5555,9049,existing,0.3,Landfill Gas,MID_AT
5556,9050,existing,0.3,Landfill Gas,MID_AT
5557,9051,existing,0.3,Landfill Gas,MID_AT
5558,9052,existing,0.3,Landfill Gas,MID_AT
5559,9053,existing,0.3,Landfill Gas,MID_AT
5560,9054,existing,0.3,Landfill Gas,MID_AT
5561,9055,existing,0.3,Landfill Gas,MID_AT
5562,9056,existing,0.3,Landfill Gas,MID_AT
5563,9057,existing,0.3,Landfill Gas,MID_AT
5564,9058,existing,0.3,Landfill Gas,MID_AT
5565,9059,existing,0.3,Landfill Gas,MID_AT
5566,9060,existing,0.3,Landfill Gas,MID_AT
5567,9061,existing,0.3,Landfill Gas,MID_AT
5568,9062,existing,0.3,Landfill Gas,MID_AT
5569,9063,existing,0.3,Landfill Gas,MID_AT
5570,9064,existing,0.3,Landfill Gas,MID_AT
5571,9065,existing,0.3,Landfill Gas,MID_AT
5572,9066,existing,0.3,Landfill Gas,MID_AT
5573,9067,existing,0.3,Landfill Gas,MID_AT
5574,9068,existing,0.3,Landfill Gas,MID_AT
5575,9069,existing,0.3,Landfill Gas,MID_AT
5576,9070,existing,0.3,Landfill Gas,MID_AT
5577,9071,existing,0.3,Landfill Gas,MID_AT
5578,9072,existing,0.3,Landfill Gas,MID_AT
5579,9073,existing,0.3,Landfill Gas,MID_AT
5580,9074,existing,0.3,Landfill Gas,MID_AT
5581,9075,existing,0.3,Landfill Gas,MID_AT
5582,9076,existing,0.3,Landfill Gas,MID_AT
5583,9077,existing,0.3,Landfill Gas,MID_AT
5584,9078,existing,0.3,Landfill Gas,MID_AT
5585,9079,existing,0.3,Landfill Gas,MID_AT
5586,9080,existing,0.3,Landfill Gas,MID_AT
5587,9081,existing,0.3,Landfill Gas,MID_AT
5588,9082,existing,0.3,Landfill Gas,MID_AT
5589,9083,existing,0.3,Landfill Gas,MID_AT
5590,9084,existing,0.3,Landfill Gas,MID_AT
5591,9085,existing,0.3,Landfill Gas,MID_AT
5592,9086,existing,0.3,Landfill Gas,MID_AT
5593,9087,existing,0.3,Landfill Gas,MID_AT
5594,9088,existing,0.3,Landfill Gas,MID_AT
5595,9089,existing,0.3,Landfill Gas,MID_AT
5596,9090,existing,0.3,Landfill Gas,MID_AT
5597,9091,existing,0.3,Landfill Gas,MID_AT
5598,9092,existing,0.3,Landfill Gas,MID_AT
5599,9093,existing,0.3,Landfill Gas,MID_AT
5600,9094,existing,0.3,Landfill Gas,MID_AT
5601,9095,existing,0.3,Landfill Gas,MID_AT
5602,9096,existing,0.3,Landfill Gas,MID_AT
5603,9097,existing,0.3,Landfill Gas,MID_AT
5604,9098,existing,0.3,Landfill Gas,MID_AT
5605,9099,existing,0.3,Landfill Gas,MID_AT
5606,9100,existing,0.3,Landfill Gas,MID_AT
5607,9101,existing,0.3,Landfill Gas,MID_AT
5608,9102,existing,0.3,Landfill Gas,MID_AT
5609,9103,existing,0.3,Landfill Gas,MID_AT
5610,9104,existing,0.3,Landfill Gas,MID_AT
5611,9105,existing,0.3,Landfill Gas,MID_AT
5612,9106,existing,0.3,Landfill Gas,MID_AT
5613,9107,existing,0.3,Landfill Gas,MID_AT
5614,9108,existing,0.3,Landfill Gas,MID_AT
5615,9109,existing,0.3,Landfill Gas,MID_AT
5616,9110,existing,0.3,Landfill Gas,MID_AT
5617,9111,existing,0.3,Landfill Gas,MID_AT
5618,9112,existing,0.3,Landfill Gas,MID_AT
5619,9113,existing,0.3,Landfill Gas,MID_AT
5620,9114,existing,0.3,Landfill Gas,MID_AT
5621,9115,existing,0.3,Landfill Gas,MID_AT
5622,9116,existing,0.3,Landfill Gas,MID_AT
5623,9117,existing,0.3,Landfill Gas,MID_AT
5624,9118,existing,0.3,Landfill Gas,MID_AT
5625,9119,existing,0.3,Landfill Gas,MID_AT
5626,9120,existing,0.3,Landfill Gas,MID_AT
5627,9121,existing,0.3,Landfill Gas,MID_AT
5628,9122,existing,0.3,Landfill Gas,MID_AT
5629,9123,existing,0.3,Landfill Gas,MID_AT
5630,9124,existing,0.3,Landfill Gas,MID_AT
5631,9125,existing,0.3,Landfill Gas,MID_AT
5632,9126,existing,0.3,Landfill Gas,MID_AT
5633,9127,existing,0.3,Landfill Gas,MID_AT
5634,9128,existing,0.3,Landfill Gas,MID_AT
5635,9129,existing,0.3,Landfill Gas,MID_AT
5636,9130,existing,0.3,Landfill Gas,MID_AT
5637,9131,existing,0.3,Landfill Gas,MID_AT
5638,9132,existing,0.3,Landfill Gas,MID_AT
5639,9133,existing,0.3,Landfill Gas,MID_AT
5640,9134,existing,0.3,Landfill Gas,MID_AT
5641,9135,existing,0.3,Landfill Gas,MID_AT
5642,9136,existing,0.3,Landfill Gas,MID_AT
5643,9137,existing,0.3,Landfill Gas,MID_AT
5644,9138,existing,0.3,Landfill Gas,MID_AT
5645,9139,existing,0.3,Landfill Gas,MID_AT
5646,9140,existing,0.3,Landfill Gas,MID_AT
5647,9141,existing,0.3,Landfill Gas,MID_AT
5648,9142,existing,0.3,Landfill Gas,MID_AT
5649,9143,existing,0.3,Landfill Gas,MID_AT
5650,9144,existing,0.3,Landfill Gas,MID_AT
5651,9145,existing,0.3,Landfill Gas,MID_AT
5652,9146,existing,0.3,Landfill Gas,MID_AT
5653,9147,existing,0.3,Landfill Gas,MID_AT
5654,9148,existing,0.3,Landfill Gas,MID_AT
5655,9149,existing,0.3,Landfill Gas,MID_AT
5656,9150,existing,0.3,Landfill Gas,MID_AT
5657,9151,existing,0.3,Landfill Gas,MID_AT
5658,9152,existing,0.3,Landfill Gas,MID_AT
5659,9153,existing,0.3,Landfill Gas,MID_AT
5660,9154,existing,0.3,Landfill Gas,MID_AT
5661,9155,existing,0.3,Landfill Gas,MID_AT
5662,9156,existing,0.3,Landfill Gas,MID_AT
5663,9157,existing,0.3,Landfill Gas,MID_AT
5664,9158,existing,0.3,Landfill Gas,MID_AT
5665,9159,existing,0.3,Landfill Gas,MID_AT
5666,9160,existing,0.3,Landfill Gas,MID_AT
5667,9161,existing,0.3,Landfill Gas,MID_AT
5668,9162,existing,0.3,Landfill Gas,MID_AT
5669,9163,existing,0.3,Landfill Gas,MID_AT
5670,9164,existing,0.3,Landfill Gas,MID_AT
5671,9165,existing,0.3,Landfill Gas,MID_AT
5672,9166,existing,0.3,Landfill Gas,MID_AT
5673,9167,existing,0.3,Landfill Gas,MID_AT
5674,9168,existing,0.3,Landfill Gas,MID_AT
5675,9169,existing,0.3,Landfill Gas,MID_AT
5676,9170,existing,0.3,Landfill Gas,MID_AT
5677,9171,existing,0.3,Landfill Gas,MID_AT
5680,9176,existing,60.5,Natural Gas Fired Combustion Turbine,TX
5681,9177,existing,60.5,Natural Gas Fired Combustion Turbine,TX
5682,9178,existing,60.5,Natural Gas Fired Combustion Turbine,TX
5683,9179,existing,60.5,Natural Gas Fired Combustion Turbine,TX
5685,9181,existing,807.5,Conventional Steam Coal,MID_AT
5689,9185,existing,28,Natural Gas Fired Combustion Turbine,MID_AT
5706,9223,existing,69.9,Natural Gas Fired Combustion Turbine,CA
5707,9224,existing,69.9,Natural Gas Fired Combustion Turbine,CA
5715,9233,existing,96,Natural Gas Fired Combustion Turbine,NE
5732,9250,existing,1008,Conventional Steam Coal,TX
5735,9253,existing,170,Natural Gas Fired Combined Cycle,CEN
5736,9254,existing,154,Natural Gas Fired Combined Cycle,CEN
5738,9256,existing,483.7,Conventional Steam Coal,NW
5743,9261,existing,91,Natural Gas Fired Combustion Turbine,CEN
5745,9263,existing,86.5,Natural Gas Fired Combustion Turbine,CEN
5746,9264,existing,86.5,Natural Gas Fired Combustion Turbine,CEN
5747,9265,existing,85,Natural Gas Fired Combustion Turbine,CEN
5748,9266,existing,85,Natural Gas Fired Combustion Turbine,CEN
5750,9268,existing,2,Petroleum Liquids,CEN
5751,9269,existing,2,Petroleum Liquids,CEN
5752,9270,existing,2,Petroleum Liquids,CEN
5753,9271,existing,2,Petroleum Liquids,CEN
5754,9272,existing,2,Petroleum Liquids,CEN
5755,9273,existing,2,Petroleum Liquids,CEN
5756,9274,existing,2,Petroleum Liquids,CEN
5757,9275,existing,2,Petroleum Liquids,CEN
5758,9276,existing,2,Petroleum Liquids,CEN
5759,9277,existing,2,Petroleum Liquids,CEN
5760,9278,existing,2,Petroleum Liquids,CEN
5761,9279,existing,2,Petroleum Liquids,CEN
5762,9280,existing,2,Petroleum Liquids,CEN
5763,9281,existing,2,Petroleum Liquids,CEN
5764,9282,existing,116,Conventional Steam Coal,NW
5786,9304,existing,5.5,Landfill Gas,MID_AT
5787,9305,existing,1,Landfill Gas,MID_AT
5788,9306,existing,1,Landfill Gas,MID_AT
5789,9307,existing,1,Landfill Gas,MID_AT
5791,9309,existing,60.5,Natural Gas Fired Combustion Turbine,CA
5792,9310,existing,60.5,Natural Gas Fired Combustion Turbine,CA
5796,9315,existing,256,Natural Gas Fired Combined Cycle,CEN
5797,9316,existing,184,Natural Gas Fired Combined Cycle,CEN
5798,9317,existing,184,Natural Gas Fired Combined Cycle,CEN
5799,9318,existing,609,Conventional Steam Coal,CEN
5804,9323,existing,60,Natural Gas Fired Combustion Turbine,SE
5805,9324,existing,60,Natural Gas Fired Combustion Turbine,SE
5807,9326,existing,1.6,Landfill Gas,SW
5808,9327,existing,0.8,Landfill Gas,SW
5809,9328,existing,0.8,Landfill Gas,SW
5810,9329,existing,1.3,Petroleum Liquids,SE
5811,9330,existing,2.2,Petroleum Liquids,SE
5812,9331,existing,2.2,Petroleum Liquids,SE
5813,9332,existing,2.2,Petroleum Liquids,SE
5814,9333,existing,2.2,Petroleum Liquids,SE
5815,9334,existing,2.2,Petroleum Liquids,SE
5816,9335,existing,1,Petroleum Liquids,SE
5817,9336,existing,2.2,Petroleum Liquids,SE
5818,9337,existing,2,Petroleum Liquids,SE
5819,9338,existing,2,Petroleum Liquids,SE
5820,9339,existing,2,Petroleum Liquids,SE
5821,9340,existing,2,Petroleum Liquids,SE
5822,9341,existing,2,Petroleum Liquids,SE
5834,9354,existing,349.4,Natural Gas Fired Combined Cycle,CA
5835,9355,existing,181.5,Natural Gas Fired Combined Cycle,CA
5836,9356,existing,181.5,Natural Gas Fired Combined Cycle,CA
5837,9357,existing,0.8,Landfill Gas,MID_AT
5838,9358,existing,0.8,Landfill Gas,MID_AT
5839,9359,existing,0.8,Landfill Gas,MID_AT
5840,9360,existing,0.8,Landfill Gas,MID_AT
5841,9361,existing,0.8,Landfill Gas,MID_AT
5842,9362,existing,0.8,Landfill Gas,MID_AT
5843,9363,existing,0.8,Landfill Gas,SW
5844,9364,existing,0.8,Landfill Gas,SW
5845,9365,existing,0.8,Landfill Gas,SW
5846,9366,existing,0.8,Landfill Gas,SW
5847,9367,existing,0.8,Landfill Gas,N_CEN
5848,9368,existing,0.8,Landfill Gas,N_CEN
5849,9369,existing,0.8,Landfill Gas,N_CEN
5850,9370,existing,0.8,Landfill Gas,N_CEN
5851,9371,existing,1.6,Landfill Gas,TX
5852,9372,existing,1.6,Landfill Gas,TX
5853,9373,existing,1.6,Landfill Gas,TX
5854,9374,existing,1.6,Landfill Gas,TX
5855,9375,existing,1.6,Landfill Gas,NE
5856,9376,existing,1.6,Landfill Gas,NE
5857,9377,existing,1.6,Landfill Gas,NE
5858,9378,existing,0.8,Landfill Gas,NE
5859,9379,existing,0.8,Landfill Gas,NE
5860,9380,existing,0.8,Landfill Gas,NE
5861,9381,existing,0.8,Landfill Gas,NE
5862,9382,existing,0.8,Landfill Gas,NE
5863,9383,existing,0.8,Landfill Gas,NE
5864,9384,existing,0.8,Landfill Gas,NE
5865,9385,existing,0.8,Landfill Gas,NE
5868,9388,existing,0.8,Landfill Gas,N_CEN
5869,9389,existing,0.8,Landfill Gas,N_CEN
5870,9390,existing,0.8,Landfill Gas,N_CEN
5871,9391,existing,0.8,Landfill Gas,N_CEN
5872,9392,existing,0.8,Landfill Gas,N_CEN
5873,9393,existing,1.6,Landfill Gas,TX
5874,9394,existing,1.6,Landfill Gas,TX
5875,9395,existing,1.6,Landfill Gas,TX
5876,9396,existing,1.6,Landfill Gas,TX
5877,9397,existing,0.8,Landfill Gas,CEN
5878,9398,existing,0.8,Landfill Gas,CEN
5879,9399,existing,0.8,Landfill Gas,CEN
5880,9400,existing,0.8,Landfill Gas,CEN
5881,9401,existing,0.8,Landfill Gas,CEN
5882,9402,existing,0.8,Landfill Gas,CEN
5883,9403,existing,0.8,Landfill Gas,SE
5884,9404,existing,0.8,Landfill Gas,SE
5885,9405,existing,0.8,Landfill Gas,SE
5886,9406,existing,0.8,Landfill Gas,SE
5887,9407,existing,0.8,Landfill Gas,SE
5888,9408,existing,0.8,Landfill Gas,SE
5889,9409,existing,0.8,Landfill Gas,N_CEN
5890,9410,existing,0.8,Landfill Gas,N_CEN
5891,9411,existing,0.8,Landfill Gas,N_CEN
5892,9412,existing,0.8,Landfill Gas,N_CEN
5893,9413,existing,0.8,Landfill Gas,N_CEN
5894,9414,existing,0.8,Landfill Gas,N_CEN
5895,9415,existing,0.8,Landfill Gas,N_CEN
5896,9416,existing,0.8,Landfill Gas,N_CEN
5897,9417,existing,0.8,Landfill Gas,N_CEN
5898,9418,existing,0.8,Landfill Gas,N_CEN
5899,9419,existing,0.8,Landfill Gas,N_CEN
5900,9420,existing,0.8,Landfill Gas,N_CEN
5901,9421,existing,0.8,Landfill Gas,N_CEN
5902,9422,existing,0.8,Landfill Gas,N_CEN
5903,9423,existing,1.3,Petroleum Liquids,MID_AT
5904,9424,existing,7.4,Natural Gas Internal Combustion Engine,SE
5905,9425,existing,4.1,Natural Gas Fired Combustion Turbine,SE
5906,9426,existing,2,Petroleum Liquids,N_CEN
5907,9427,existing,2,Petroleum Liquids,N_CEN
5908,9428,existing,8.4,Natural Gas Internal Combustion Engine,SW
5909,9429,existing,8.4,Natural Gas Internal Combustion Engine,SW
5910,9430,existing,8.4,Natural Gas Internal Combustion Engine,SW
5911,9431,existing,8.4,Natural Gas Internal Combustion Engine,SW
5912,9432,existing,8.4,Natural Gas Internal Combustion Engine,SW
5913,9433,existing,8.4,Natural Gas Internal Combustion Engine,SW
5914,9434,existing,8.4,Natural Gas Internal Combustion Engine,SW
5915,9435,existing,8.4,Natural Gas Internal Combustion Engine,SW
5916,9436,existing,8.4,Natural Gas Internal Combustion Engine,SW
5917,9437,existing,8.4,Natural Gas Internal Combustion Engine,SW
5918,9438,existing,8.4,Natural Gas Internal Combustion Engine,SW
5919,9439,existing,8.4,Natural Gas Internal Combustion Engine,SW
5920,9440,existing,8.4,Natural Gas Internal Combustion Engine,SW
5921,9441,existing,8.4,Natural Gas Internal Combustion Engine,SW
5922,9448,existing,1.6,Natural Gas Internal Combustion Engine,MID_AT
5923,9449,existing,1.6,Landfill Gas,MID_AT
5924,9450,existing,1.6,Landfill Gas,MID_AT
5926,9452,existing,0.9,Landfill Gas,MID_AT
5927,9453,existing,0.9,Landfill Gas,MID_AT
5928,9454,existing,1.6,Landfill Gas,MID_AT
5930,9456,existing,15.2,Natural Gas Fired Combustion Turbine,SW
5931,9457,existing,15.2,Natural Gas Fired Combustion Turbine,SW
5933,9459,existing,60.5,Natural Gas Fired Combustion Turbine,CEN
5934,9460,existing,57.4,Natural Gas Fired Combustion Turbine,CEN
5935,9461,existing,60.5,Natural Gas Fired Combustion Turbine,CEN
5936,9462,existing,21.4,Natural Gas Fired Combustion Turbine,CEN
5937,9463,existing,24.5,Natural Gas Fired Combustion Turbine,CEN
5938,9464,existing,1,Natural Gas Internal Combustion Engine,N_CEN
5939,9465,existing,1,Natural Gas Internal Combustion Engine,N_CEN
5940,9466,existing,2,Natural Gas Internal Combustion Engine,N_CEN
5941,9467,existing,2,Natural Gas Internal Combustion Engine,N_CEN
5942,9468,existing,2,Natural Gas Internal Combustion Engine,N_CEN
5943,9469,existing,2,Natural Gas Internal Combustion Engine,N_CEN
5944,9470,existing,2,Natural Gas Internal Combustion Engine,N_CEN
5945,9471,existing,171.4,Natural Gas Fired Combustion Turbine,CEN
5946,9472,existing,171.4,Natural Gas Fired Combustion Turbine,CEN
5947,9473,existing,171.4,Natural Gas Fired Combustion Turbine,CEN
5948,9474,existing,54,Natural Gas Fired Combustion Turbine,CEN
5949,9475,existing,54,Natural Gas Fired Combustion Turbine,CEN
5950,9476,existing,54,Natural Gas Fired Combustion Turbine,CEN
5951,9477,existing,54,Natural Gas Fired Combustion Turbine,CEN
5957,9483,existing,8.4,Natural Gas Internal Combustion Engine,SW
5958,9484,existing,8.4,Natural Gas Internal Combustion Engine,SW
5959,9485,existing,8.4,Natural Gas Internal Combustion Engine,SW
5960,9486,existing,8.4,Natural Gas Internal Combustion Engine,SW
5961,9487,existing,8.4,Natural Gas Internal Combustion Engine,SW
5962,9488,existing,8.4,Natural Gas Internal Combustion Engine,SW
5963,9489,existing,8.4,Natural Gas Internal Combustion Engine,SW
5964,9490,existing,8.4,Natural Gas Internal Combustion Engine,SW
5965,9491,existing,8.4,Natural Gas Internal Combustion Engine,SW
5966,9492,existing,8.4,Natural Gas Internal Combustion Engine,SW
5967,9493,existing,8.4,Natural Gas Internal Combustion Engine,SW
5968,9494,existing,8.4,Natural Gas Internal Combustion Engine,SW
5969,9495,existing,8.4,Natural Gas Internal Combustion Engine,SW
5970,9496,existing,8.4,Natural Gas Internal Combustion Engine,SW
5973,9499,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5974,9500,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5975,9501,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5976,9502,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5977,9503,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5978,9504,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5979,9505,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5980,9506,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5981,9507,existing,9.3,Natural Gas Internal Combustion Engine,CEN
5982,9508,existing,9.3,Natural Gas Internal Combustion Engine,CEN
5983,9509,existing,9.3,Natural Gas Internal Combustion Engine,CEN
5984,9510,existing,8.4,Natural Gas Internal Combustion Engine,CEN
5985,9511,existing,1.6,Other Gases,NW
5990,9516,existing,1.6,Petroleum Liquids,MID_AT
5991,9517,existing,1.6,Petroleum Liquids,MID_AT
5992,9518,existing,22,Natural Gas Fired Combustion Turbine,CEN
5993,9519,existing,22,Natural Gas Fired Combustion Turbine,CEN
5994,9520,existing,22,Natural Gas Fired Combustion Turbine,CEN
6002,9528,existing,60.5,Natural Gas Fired Combustion Turbine,SW
6003,9529,existing,60.5,Natural Gas Fired Combustion Turbine,SW
6006,9532,existing,60.4,Natural Gas Fired Combustion Turbine,N_CEN
6008,9534,existing,13.3,Natural Gas Fired Combustion Turbine,CEN
6009,9535,existing,213.3,Natural Gas Fired Combined Cycle,CA
6010,9536,existing,203.2,Natural Gas Fired Combined Cycle,CA
6011,9537,existing,203.2,Natural Gas Fired Combined Cycle,CA
6013,9539,existing,49.8,Natural Gas Fired Combustion Turbine,CA
6014,9540,existing,49.8,Natural Gas Fired Combustion Turbine,CA
6015,9541,existing,49.8,Natural Gas Fired Combustion Turbine,CA
6017,9543,existing,49.8,Natural Gas Fired Combustion Turbine,CA
6018,9544,existing,49.8,Natural Gas Fired Combustion Turbine,CA
6023,9549,existing,255,Natural Gas Fired Combined Cycle,CA
6024,9550,existing,200,Natural Gas Fired Combined Cycle,CA
6025,9551,existing,200,Natural Gas Fired Combined Cycle,CA
6028,9554,existing,1.6,Landfill Gas,N_CEN
6029,9555,existing,0.8,Landfill Gas,N_CEN
6030,9556,existing,0.8,Landfill Gas,N_CEN
6031,9557,existing,1.6,Landfill Gas,N_CEN
6032,9558,existing,0.8,Landfill Gas,N_CEN
6033,9559,existing,0.8,Landfill Gas,N_CEN
6034,9560,existing,1.6,Landfill Gas,N_CEN
6035,9561,existing,0.8,Landfill Gas,N_CEN
6036,9562,existing,0.8,Landfill Gas,N_CEN
