TX_WND 1,TX_WND 2,TX_WND 3,TX_WND 4,TX_WND 5,TX_PV 1,TX_PV 2,TX_PV 3,TX_PV 4,TX_PV 5
0.20244693899229543,0.17669333597625306,0.1427673083529014,0.17958475580572944,0.17149122024787652,0.8291548981828752,0.8064629909241512,0.7853746903771858,0.768351482076617,0.7634280269528746
0.20117830803070674,0.1754916943184829,0.1427673083529014,0.17664544321531098,0.16619478801357104,0.815120272403055,0.7927579747158731,0.7714818407559885,0.7595016291274521,0.748896269541808
0.2007568612906329,0.1754916943184829,0.14129569129070427,0.17148258938954505,0.1521365484830019,0.8151202724030547,0.7859552820542974,0.7639096619166973,0.7517533945717861,0.7414688896871864
0.19987589204257705,0.1754916943184829,0.14129569129070424,0.164861742174463,0.15213654848300193,0.8091788392423355,0.7752901352978325,0.746972468550352,0.7348618610160529,0.7318306191309927
0.19987589204257702,0.1754916943184829,0.14129569129070427,0.164861742174463,0.140098986257879,0.7821137459103906,0.7549454116479217,0.7287565553455024,0.714971818393364,0.7152924996428786
0.1942481409653705,0.17471053785978663,0.14129569129070427,0.15590467940047223,0.1281965267306362,0.7703930837894734,0.7388150076882787,0.6945693570885788,0.6790841473006377,0.6787082518976822
0.1942481409653705,0.1722805794047327,0.14129569129070424,0.15185934986991567,0.1281965267306362,0.7310296832990137,0.6922606686450296,0.6603847002613741,0.6407850616457289,0.6321909518540425
0.18354722849859492,0.16104522383603928,0.1412956912907042,0.14847095594599202,0.1281965267306362,0.6790485365568275,0.6390254770772839,0.5970338016736199,0.5968681734027561,0.6014841006164311
0.1819139099350331,0.15744752164076345,0.1375420690922079,0.14464104407483458,0.12034999583395314,0.6272452664470785,0.617586386189069,0.5860896180806969,0.5740652664457411,0.566672614614837
0.1792612724923755,0.15533503301970744,0.1375420690922079,0.13900788356494526,0.12034999583395314,0.5809493540799067,0.5551806135261198,0.5328515774907879,0.5329289609228389,0.5449187876153053
0.1723129818400972,0.15099429686454455,0.12998807989783534,0.1352946933900595,0.1170770226964586,0.5133010270752345,0.4999038728220587,0.4718463817714656,0.46492016785913687,0.4926221842730526
0.16380544904553157,0.15099429686454457,0.12998807989783534,0.1352946933900595,0.11595640890305643,0.4661178697121193,0.44015694224164736,0.38266091096422433,0.39356645447164895,0.40899750837516935
0.16015236243137776,0.14678709112684904,0.12998807989783534,0.1352946933900595,0.11244492360523418,0.42971810234694335,0.40406276583667344,0.3606711318584197,0.3500706824421173,0.3682308602173578
0.15685058762798287,0.14678709112684904,0.12998807989783534,0.13257927548761442,0.10598916506097657,0.40991925254246175,0.37434569986305133,0.3273617094068036,0.31718900898021274,0.3366174567196774
0.1568505876279829,0.14237384171584697,0.12666138549645617,0.12884030820626957,0.10158219893279782,0.32745465557576325,0.32421649572440636,0.29386717537478213,0.2934066668104276,0.31013010531027674
0.1568505876279829,0.14073652119184046,0.12456966090502633,0.1288403082062696,0.10158219893279782,0.2581600754164443,0.27344079718444986,0.26003582861592783,0.2597312711101389,0.2771780447385466
0.15685058762798287,0.13812362389192268,0.12129371720729713,0.1243294177957268,0.10158219893279782,0.2047683253340156,0.20236996797308618,0.21573587125103724,0.20657155071895766,0.23773663148267993
0.15249478199358132,0.13596039277929742,0.11845776122332141,0.1243294177957268,0.09690486532492291,0.15457199521083928,0.1603013779029602,0.15185583133695024,0.17686513980221735,0.18570899563757004
0.14961113857601394,0.13178233770101203,0.1155443985338424,0.12227399661893393,0.09497807377957161,0.12542127594637772,0.12147265031219387,0.12566268446744114,0.12920306837770962,0.14640508589211598
0.14961113857601396,0.13178233770101203,0.11554439853384242,0.11762793028402356,0.0915044981546097,0.09810516312509039,0.09722355993638884,0.09944675791382585,0.11125701358801227,0.12881273757930234
0.14773528823705612,0.13096620956679544,0.11554439853384242,0.11762793028402359,0.08763159437089822,0.08531133375529136,0.09083259364429291,0.08954672681552446,0.10154243941367933,0.1124613388337225
0.14773528823705612,0.12979324128698674,0.11373858958346324,0.11441413626394868,0.08660673186433934,0.06679594316137728,0.08134811014527467,0.0761330627201747,0.08417991365904973,0.09419173320547161
0.14358432750320402,0.12849597408763241,0.11373858958346324,0.11441413626394868,0.08241221457543849,0.06353585411552809,0.06958964567957292,0.06760733052940267,0.07127593868971943,0.09007663100525998
0.14358432750320402,0.12443125214266948,0.11373858958346325,0.11441413626394868,0.07940045530332429,0.06353585411552808,0.0695896456795729,0.06760733052940265,0.07127593868971943,0.07474026681726381
0.14234878336471224,0.12243967479126644,0.11373858958346325,0.11130091256728898,0.07940045530332429,0.055552737237758186,0.05915940262977981,0.06760733052940267,0.07127593868971945,0.06532118768447233
0.140149843730748,0.11998700148980497,0.11061290135267655,0.11130091256728898,0.0761379777571157,0.04497902112583058,0.047224311998032745,0.06337902308429685,0.05986601716731586,0.05592905167151034
0.13718138009808645,0.11998700148980497,0.11061290135267655,0.10753939087251532,0.07333757679874674,0.04497902112583059,0.041636665740795664,0.05856569648958029,0.05986601716731586,0.05562204484983471
0.13718138009808645,0.11747380969990745,0.11061290135267655,0.10171383513996944,0.07333757679874674,0.0449790211258306,0.03792503989300492,0.048990792459986034,0.0549756929567606,0.04637991079278377
0.13718138009808642,0.11553626505567678,0.11061290135267655,0.10171383513996944,0.07130965539986941,0.04497902112583059,0.03792503989300492,0.048990792459986034,0.050479728246140526,0.04637991079278377
0.1351674923582661,0.11311554086924583,0.11061290135267655,0.10171383513996944,0.06909162133457428,0.03541650426895236,0.03304969956764958,0.045670329080908345,0.045843598152021596,0.04637991079278378
