E_WND_N_TX_0_TX,E_WND_N_TX_1_TX,E_WND_N_TX_2_TX,E_WND_N_TX_3_TX,E_WND_N_TX_4_TX,E_SOLPVCEN_N_TX_0_TX,E_SOLPVCEN_N_TX_1_TX,E_SOLPVCEN_N_TX_2_TX,E_SOLPVCEN_N_TX_3_TX,E_SOLPVCEN_N_TX_4_TX,TX_med_bl_0_100,TX_med_bl_20_80,TX_med_bl_40_60,TX_med_bl_50_50,TX_med_bl_60_40,TX_med_bl_80_20,TX_med_bl_100_0,TX_mn_bl_0_100,TX_mn_bl_20_80,TX_mn_bl_40_60,TX_mn_bl_50_50,TX_mn_bl_60_40,TX_mn_bl_80_20,TX_mn_bl_100_0
21425.2,21425.2,21425.2,21425.2,21425.2,1361.7,1361.7,1361.7,1361.7,1361.7,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9,22786.9
22425.2,22425.2,22425.2,22425.2,22425.2,2361.7,2361.7,2361.7,2361.7,2361.7,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9,23786.9
23425.2,23425.2,23425.2,23425.2,23425.2,3361.7,3361.7,3361.7,3361.7,3361.7,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9,24786.9
