E_WND_N_WA_0_NW,E_WND_N_WA_1_NW,E_WND_N_WA_2_NW,E_WND_N_WA_3_NW,E_WND_N_WA_4_NW,E_WND_N_ID_0_NW,E_WND_N_ID_1_NW,E_WND_N_ID_2_NW,E_WND_N_ID_3_NW,E_WND_N_ID_4_NW,E_WND_N_OR_0_NW,E_WND_N_OR_1_NW,E_WND_N_OR_2_NW,E_WND_N_OR_3_NW,E_WND_N_OR_4_NW,E_WND_N_WY_0_NW,E_WND_N_WY_1_NW,E_WND_N_WY_2_NW,E_WND_N_WY_3_NW,E_WND_N_WY_4_NW,E_WND_N_MT_0_NW,E_WND_N_MT_1_NW,E_WND_N_MT_2_NW,E_WND_N_MT_3_NW,E_WND_N_MT_4_NW,E_SOLPVCEN_N_WY_0_NW,E_SOLPVCEN_N_WY_1_NW,E_SOLPVCEN_N_WY_2_NW,E_SOLPVCEN_N_WY_3_NW,E_SOLPVCEN_N_WY_4_NW,E_SOLPVCEN_N_ID_0_NW,E_SOLPVCEN_N_ID_1_NW,E_SOLPVCEN_N_ID_2_NW,E_SOLPVCEN_N_ID_3_NW,E_SOLPVCEN_N_ID_4_NW,E_SOLPVCEN_N_OR_0_NW,E_SOLPVCEN_N_OR_1_NW,E_SOLPVCEN_N_OR_2_NW,E_SOLPVCEN_N_OR_3_NW,E_SOLPVCEN_N_OR_4_NW,E_SOLPVCEN_N_WA_0_NW,E_SOLPVCEN_N_WA_1_NW,E_SOLPVCEN_N_WA_2_NW,E_SOLPVCEN_N_WA_3_NW,E_SOLPVCEN_N_WA_4_NW,E_SOLPVCEN_N_MT_0_NW,E_SOLPVCEN_N_MT_1_NW,E_SOLPVCEN_N_MT_2_NW,E_SOLPVCEN_N_MT_3_NW,E_SOLPVCEN_N_MT_4_NW,E_OFWND_N_1_NW,NW_med_bl_0_100,NW_med_bl_20_80,NW_med_bl_40_60,NW_med_bl_50_50,NW_med_bl_60_40,NW_med_bl_80_20,NW_med_bl_100_0,NW_mn_bl_0_100,NW_mn_bl_20_80,NW_mn_bl_40_60,NW_mn_bl_50_50,NW_mn_bl_60_40,NW_mn_bl_80_20,NW_mn_bl_100_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
1.0,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
