,id,operational_status,capacity_mw,technology_description,OEO_region
686,3125,existing,3.5,Solar Photovoltaic,MID_AT
687,3126,existing,5,Solar Photovoltaic,MID_AT
688,3127,existing,25,Onshore Wind Turbine,NW
689,3128,existing,20,Solar Photovoltaic,CA
690,3129,existing,4.9,Solar Photovoltaic,MID_AT
691,3133,existing,2.1,Solar Photovoltaic,SE
692,3134,existing,1,Solar Photovoltaic,NE
693,3135,existing,1.7,Solar Photovoltaic,NE
694,3136,existing,1.2,Solar Photovoltaic,NE
695,3139,existing,1.3,Solar Photovoltaic,NE
696,3140,existing,1,Solar Photovoltaic,TX
697,3142,existing,100.8,Onshore Wind Turbine,MID_AT
698,3143,existing,18,Solar Photovoltaic,SE
700,3145,existing,40,Solar Photovoltaic,SW
701,3147,existing,1.5,Solar Photovoltaic,MID_AT
705,3151,existing,1.6,Solar Photovoltaic,NE
706,3152,existing,2,Solar Photovoltaic,NE
707,3153,existing,1.6,Solar Photovoltaic,MID_AT
712,3158,existing,2.8,Solar Photovoltaic,NE
714,3160,existing,1.9,Solar Photovoltaic,NE
715,3161,existing,1.9,Solar Photovoltaic,NE
716,3162,existing,2.6,Solar Photovoltaic,NE
717,3163,existing,2,Solar Photovoltaic,NE
718,3164,existing,3.9,Solar Photovoltaic,NE
719,3165,existing,1,Solar Photovoltaic,NE
720,3166,existing,1.1,Solar Photovoltaic,CA
721,3167,existing,50,Solar Photovoltaic,SW
722,3168,existing,1,Solar Photovoltaic,SE
723,3169,existing,1.2,Solar Photovoltaic,MID_AT
724,3170,existing,1,Solar Photovoltaic,CA
725,3171,existing,40,Solar Photovoltaic,NW
727,3173,existing,2,Solar Photovoltaic,NE
728,3174,existing,2,Solar Photovoltaic,NE
730,3178,existing,3.4,Solar Photovoltaic,SE
731,3179,existing,3.7,Solar Photovoltaic,MID_AT
732,3180,existing,118.5,Solar Photovoltaic,TX
733,3181,existing,17,Solar Photovoltaic,N_CEN
734,3183,existing,80,Solar Photovoltaic,SW
735,3184,existing,2,Solar Photovoltaic,NE
736,3187,existing,2.2,Solar Photovoltaic,CA
737,3188,existing,2,Solar Photovoltaic,TX
738,3189,existing,5,Solar Photovoltaic,CA
739,3190,existing,2,Solar Photovoltaic,NE
740,3191,existing,1.7,Solar Photovoltaic,NE
741,3192,existing,1.6,Solar Photovoltaic,NE
742,3193,existing,20,Solar Photovoltaic,MID_AT
746,3198,existing,4.9,Solar Photovoltaic,MID_AT
747,3199,existing,4.9,Solar Photovoltaic,SE
748,3200,existing,5.2,Solar Photovoltaic,MID_AT
749,3201,existing,276,Onshore Wind Turbine,TX
750,3202,existing,50,Solar Photovoltaic,SW
751,3203,existing,4,Solar Photovoltaic,CA
752,3204,existing,2.2,Solar Photovoltaic,NE
753,3205,existing,5.2,Solar Photovoltaic,N_CEN
754,3206,existing,5.2,Solar Photovoltaic,SE
755,3207,existing,5.2,Solar Photovoltaic,SE
756,3208,existing,70,Solar Photovoltaic,CEN
757,3209,existing,70,Solar Photovoltaic,CEN
758,3210,existing,9.1,Onshore Wind Turbine,NE
759,3211,existing,5.2,Solar Photovoltaic,SE
760,3212,existing,5.2,Solar Photovoltaic,SE
761,3213,existing,5.2,Solar Photovoltaic,SE
762,3214,existing,4.9,Solar Photovoltaic,SE
763,3215,existing,4.9,Solar Photovoltaic,SE
764,3216,existing,4.9,Solar Photovoltaic,SE
765,3217,existing,4.9,Solar Photovoltaic,SE
766,3218,existing,4.9,Solar Photovoltaic,SE
767,3219,existing,5,Solar Photovoltaic,MID_AT
770,3224,existing,20.1,Solar Photovoltaic,NE
772,3226,existing,60,Solar Photovoltaic,CA
774,3230,existing,20,Solar Photovoltaic,CA
776,3232,existing,5,Solar Photovoltaic,MID_AT
777,3233,existing,60,Solar Photovoltaic,SE
778,3234,existing,20,Solar Photovoltaic,SW
779,3235,existing,65,Solar Photovoltaic,SE
780,3236,existing,5,Solar Photovoltaic,MID_AT
781,3240,existing,7.7,Solar Photovoltaic,MID_AT
783,3245,existing,100,Solar Photovoltaic,TX
784,3246,existing,1.5,Solar Photovoltaic,SE
785,3247,existing,5.2,Solar Photovoltaic,SE
786,3248,existing,5.2,Solar Photovoltaic,SE
791,3253,existing,5.2,Solar Photovoltaic,SE
792,3254,existing,151.2,Onshore Wind Turbine,TX
793,3255,existing,1.6,Solar Photovoltaic,NE
794,3258,existing,5.2,Solar Photovoltaic,MID_AT
795,3260,existing,5,Solar Photovoltaic,SE
799,3268,existing,150,Onshore Wind Turbine,CEN
800,3269,existing,150,Onshore Wind Turbine,CEN
801,3270,existing,2,Solar Photovoltaic,MID_AT
802,3271,existing,100,Solar Photovoltaic,SW
803,3272,existing,30,Solar Photovoltaic,SW
804,3273,existing,1.9,Solar Photovoltaic,SW
808,3277,existing,2,Solar Photovoltaic,N_CEN
809,3278,existing,19.6,Solar Photovoltaic,N_CEN
810,3279,existing,28.4,Solar Photovoltaic,N_CEN
811,3284,existing,2,Solar Photovoltaic,NE
814,3287,existing,27.6,Onshore Wind Turbine,N_CEN
815,3288,existing,92.8,Onshore Wind Turbine,N_CEN
816,3289,existing,119.6,Onshore Wind Turbine,N_CEN
817,3290,existing,61.1,Onshore Wind Turbine,N_CEN
818,3291,existing,1,Solar Photovoltaic,SW
820,3293,existing,230,Onshore Wind Turbine,TX
821,3294,existing,230,Onshore Wind Turbine,TX
822,3295,existing,16,Solar Photovoltaic,SE
823,3296,existing,50,Solar Photovoltaic,CA
824,3297,existing,10,Solar Photovoltaic,NW
825,3298,existing,10,Solar Photovoltaic,NW
826,3299,existing,4.5,Solar Photovoltaic,NW
827,3300,existing,10,Solar Photovoltaic,NW
828,3301,existing,9,Solar Photovoltaic,NW
829,3302,existing,6,Solar Photovoltaic,NW
830,3303,existing,39.9,Onshore Wind Turbine,MID_AT
831,3310,existing,1.8,Solar Photovoltaic,MID_AT
835,3314,existing,79.7,Onshore Wind Turbine,N_CEN
836,3315,existing,108.7,Onshore Wind Turbine,N_CEN
837,3316,existing,61.9,Onshore Wind Turbine,N_CEN
838,3319,existing,16.1,Onshore Wind Turbine,CA
839,3320,existing,1.2,Solar Photovoltaic,SW
840,3321,existing,20,Solar Photovoltaic,MID_AT
841,3322,existing,19,Solar Photovoltaic,MID_AT
842,3324,existing,17,Solar Photovoltaic,MID_AT
843,3326,existing,35.8,Onshore Wind Turbine,CEN
844,3327,existing,4.9,Solar Photovoltaic,SE
845,3328,existing,4.9,Solar Photovoltaic,SE
846,3329,existing,11.4,Solar Photovoltaic,CA
847,3330,existing,20,Solar Photovoltaic,CA
848,3332,existing,150,Solar Photovoltaic,SW
849,3333,existing,100,Solar Photovoltaic,SW
850,3334,existing,52,Solar Photovoltaic,SE
851,3335,existing,30,Solar Photovoltaic,SW
852,3336,existing,52,Solar Photovoltaic,SE
856,3341,existing,3,Solar Photovoltaic,SW
859,3347,existing,10.2,Solar Photovoltaic,SE
860,3353,existing,5,Solar Photovoltaic,SE
861,3356,existing,30,Solar Photovoltaic,SW
862,3359,existing,7.8,Solar Photovoltaic,SW
863,3360,existing,3,Solar Photovoltaic,CA
864,3361,existing,20,Solar Photovoltaic,CA
865,3362,existing,20,Solar Photovoltaic,CA
866,3363,existing,1.9,Solar Photovoltaic,NE
867,3364,existing,1.5,Solar Photovoltaic,CA
869,3366,existing,2,Solar Photovoltaic,CA
870,3367,existing,2,Solar Photovoltaic,NE
871,3371,existing,148.4,Onshore Wind Turbine,CEN
873,3375,existing,2.7,Solar Photovoltaic,MID_AT
874,3376,existing,5.9,Solar Photovoltaic,MID_AT
875,3377,existing,4.4,Solar Photovoltaic,MID_AT
884,3386,existing,73.4,Onshore Wind Turbine,CEN
885,3387,existing,100,Solar Photovoltaic,SW
886,3392,existing,80,Onshore Wind Turbine,NW
887,3393,existing,28.1,Solar Photovoltaic,SW
888,3394,existing,5,Solar Photovoltaic,SE
889,3395,existing,198,Onshore Wind Turbine,CEN
890,3396,existing,1,Solar Photovoltaic,CA
891,3397,existing,2,Solar Photovoltaic,CA
896,3402,existing,5,Solar Photovoltaic,MID_AT
897,3403,existing,4,Solar Photovoltaic,N_CEN
898,3404,existing,2,Solar Photovoltaic,N_CEN
900,3409,existing,4,Solar Photovoltaic,SW
901,3410,existing,4,Solar Photovoltaic,SW
902,3420,existing,10,Solar Photovoltaic,CA
905,3423,existing,4.9,Solar Photovoltaic,SE
906,3424,existing,5.2,Solar Photovoltaic,N_CEN
907,3425,existing,5.2,Solar Photovoltaic,N_CEN
908,3426,existing,30,Solar Photovoltaic,CA
915,3433,existing,185,Solar Photovoltaic,CA
916,3434,existing,2,Solar Photovoltaic,NE
917,3435,existing,4.5,Solar Photovoltaic,CA
920,3438,existing,1.5,Solar Photovoltaic,NE
921,3439,existing,1,Solar Photovoltaic,NE
922,3440,existing,1.4,Solar Photovoltaic,MID_AT
923,3441,existing,10.8,Solar Photovoltaic,CA
924,3442,existing,2.5,Solar Photovoltaic,NE
947,3467,existing,1,Solar Photovoltaic,CA
948,3468,existing,200,Onshore Wind Turbine,CEN
949,3469,existing,149.3,Onshore Wind Turbine,TX
952,3476,existing,50.4,Onshore Wind Turbine,TX
953,3477,existing,5,Solar Photovoltaic,MID_AT
954,3478,existing,5,Solar Photovoltaic,MID_AT
955,3479,existing,5,Solar Photovoltaic,MID_AT
956,3489,existing,1.2,Solar Photovoltaic,MID_AT
957,3490,existing,2,Solar Photovoltaic,SE
958,3491,existing,2,Solar Photovoltaic,SE
959,3492,existing,10,Solar Photovoltaic,SW
960,3493,existing,10.5,Solar Photovoltaic,SW
961,3494,existing,9.5,Solar Photovoltaic,SW
962,3495,existing,10,Solar Photovoltaic,SW
963,3500,existing,3.3,Solar Photovoltaic,CA
965,3502,existing,4,Solar Photovoltaic,SE
966,3503,existing,3,Solar Photovoltaic,MID_AT
967,3504,existing,5,Solar Photovoltaic,MID_AT
968,3505,existing,5,Solar Photovoltaic,SE
969,3506,existing,5,Solar Photovoltaic,CA
970,3507,existing,50,Solar Photovoltaic,CA
971,3508,existing,85,Solar Photovoltaic,CA
974,3511,existing,2,Solar Photovoltaic,CA
975,3512,existing,2,Solar Photovoltaic,CA
976,3515,existing,5,Solar Photovoltaic,SE
977,3540,existing,1,Solar Photovoltaic,CA
978,3541,existing,1.2,Solar Photovoltaic,CA
979,3542,existing,142.6,Onshore Wind Turbine,SW
980,3543,existing,1.3,Solar Photovoltaic,CA
981,3544,existing,2,Solar Photovoltaic,NE
982,3545,existing,50.8,Solar Photovoltaic,SE
983,3546,existing,6.5,Solar Photovoltaic,SE
984,3547,existing,6.5,Solar Photovoltaic,SE
985,3548,existing,181.7,Onshore Wind Turbine,SW
986,3550,existing,60.8,Onshore Wind Turbine,SW
987,3551,existing,1.5,Solar Photovoltaic,CA
989,3556,existing,5,Solar Photovoltaic,SE
990,3557,existing,5,Solar Photovoltaic,SE
991,3558,existing,2,Solar Photovoltaic,SE
992,3559,existing,5,Solar Photovoltaic,SE
993,3560,existing,103,Onshore Wind Turbine,MID_AT
994,3561,existing,3.5,Solar Photovoltaic,SE
1000,3567,existing,2,Solar Photovoltaic,SE
1001,3568,existing,1.5,Onshore Wind Turbine,MID_AT
1002,3569,existing,1.5,Onshore Wind Turbine,MID_AT
1003,3570,existing,1.5,Onshore Wind Turbine,MID_AT
1004,3571,existing,80,Solar Photovoltaic,MID_AT
1005,3572,existing,1.5,Onshore Wind Turbine,MID_AT
1006,3574,existing,3,Solar Photovoltaic,SE
1010,3580,existing,2.6,Solar Photovoltaic,SE
1013,3583,existing,3,Solar Photovoltaic,N_CEN
1014,3584,existing,1,Solar Photovoltaic,N_CEN
1015,3585,existing,1,Solar Photovoltaic,NE
1016,3586,existing,1,Solar Photovoltaic,NE
1017,3587,existing,1.5,Solar Photovoltaic,NE
1018,3588,existing,1.2,Solar Photovoltaic,MID_AT
1019,3589,existing,1.4,Solar Photovoltaic,NW
1020,3590,existing,2.2,Solar Photovoltaic,NE
1021,3591,existing,3,Solar Photovoltaic,NE
1023,3593,existing,5,Solar Photovoltaic,SE
1024,3594,existing,2,Solar Photovoltaic,SE
1025,3595,existing,5,Solar Photovoltaic,SE
1026,3596,existing,2,Solar Photovoltaic,SE
1027,3597,existing,249.7,Onshore Wind Turbine,TX
1032,3602,existing,2,Solar Photovoltaic,SE
1034,3604,existing,1.7,Solar Photovoltaic,NE
1035,3605,existing,2,Solar Photovoltaic,NE
1036,3606,existing,1,Solar Photovoltaic,NE
1037,3607,existing,1,Solar Photovoltaic,MID_AT
1038,3616,existing,34.8,Solar Photovoltaic,CA
1039,3617,existing,36.3,Solar Photovoltaic,CA
1040,3618,existing,38.7,Solar Photovoltaic,CA
1041,3619,existing,32.1,Solar Photovoltaic,CA
1042,3620,existing,32,Solar Photovoltaic,CA
1043,3621,existing,33.9,Solar Photovoltaic,CA
1044,3622,existing,33.2,Solar Photovoltaic,CA
1045,3623,existing,20,Solar Photovoltaic,CA
1046,3625,existing,1.6,Solar Photovoltaic,MID_AT
1047,3626,existing,104,Onshore Wind Turbine,N_CEN
1048,3627,existing,300,Onshore Wind Turbine,TX
1049,3628,existing,3,Solar Photovoltaic,CA
1050,3629,existing,3.7,Solar Photovoltaic,CA
1054,3633,existing,1.5,Solar Photovoltaic,CA
1055,3634,existing,1.5,Solar Photovoltaic,CA
1056,3635,existing,76.5,Solar Photovoltaic,SE
1057,3636,existing,20,Solar Photovoltaic,CA
1058,3637,existing,15,Solar Photovoltaic,CA
1059,3638,existing,20,Solar Photovoltaic,CA
1060,3639,existing,20,Solar Photovoltaic,CA
1061,3640,existing,15.8,Solar Photovoltaic,CA
1062,3641,existing,4,Solar Photovoltaic,NE
1063,3642,existing,4.6,Solar Photovoltaic,NE
1064,3643,existing,2.2,Solar Photovoltaic,NE
1065,3644,existing,2,Solar Photovoltaic,NE
1066,3645,existing,2,Solar Photovoltaic,SE
1067,3646,existing,5.1,Solar Photovoltaic,SE
1068,3648,existing,198.6,Onshore Wind Turbine,CEN
1069,3649,existing,20,Solar Photovoltaic,NW
1070,3650,existing,60,Solar Photovoltaic,NW
1071,3651,existing,1.6,Solar Photovoltaic,NE
1072,3653,existing,4.4,Solar Photovoltaic,NE
1073,3654,existing,101.2,Solar Photovoltaic,SE
1074,3655,existing,51,Solar Photovoltaic,SE
1075,3656,existing,16,Solar Photovoltaic,SW
1077,3658,existing,74.5,Solar Photovoltaic,SE
1078,3659,existing,0.5,Solar Photovoltaic,CA
1079,3660,existing,0.6,Solar Photovoltaic,CA
1080,3661,existing,2.1,Solar Photovoltaic,CA
1081,3662,existing,110,Onshore Wind Turbine,TX
1082,3663,existing,75,Solar Photovoltaic,SE
1083,3664,existing,2.3,Solar Photovoltaic,NW
1084,3665,existing,4.8,Solar Photovoltaic,NE
1085,3666,existing,2,Solar Photovoltaic,SE
1086,3667,existing,2.2,Solar Photovoltaic,NE
1088,3669,existing,4.9,Solar Photovoltaic,SE
1089,3670,existing,1.9,Solar Photovoltaic,SE
1090,3671,existing,1.9,Solar Photovoltaic,SE
1091,3672,existing,1.5,Solar Photovoltaic,SE
1092,3673,existing,85.9,Onshore Wind Turbine,CA
1093,3674,existing,4.5,Solar Photovoltaic,SE
1094,3675,existing,1.5,Solar Photovoltaic,N_CEN
1095,3676,existing,1.5,Solar Photovoltaic,N_CEN
1096,3677,existing,24.9,Solar Photovoltaic,NE
1097,3678,existing,202,Solar Photovoltaic,TX
1099,3681,existing,20,Solar Photovoltaic,CA
1100,3682,existing,2.1,Solar Photovoltaic,MID_AT
1101,3683,existing,1.6,Solar Photovoltaic,MID_AT
1102,3684,existing,7.3,Solar Photovoltaic,CA
1103,3686,existing,130,Solar Photovoltaic,CA
1104,3687,existing,1,Solar Photovoltaic,CA
1105,3689,existing,1.1,Solar Photovoltaic,MID_AT
1106,3691,existing,20,Solar Photovoltaic,CA
1107,3692,existing,3,Solar Photovoltaic,CA
1109,3695,existing,13,Solar Photovoltaic,SW
1110,3696,existing,2.8,Solar Photovoltaic,NE
1112,3699,existing,1.9,Solar Photovoltaic,N_CEN
1113,3700,existing,1,Solar Photovoltaic,N_CEN
1114,3701,existing,1,Solar Photovoltaic,N_CEN
1117,3704,existing,3,Onshore Wind Turbine,MID_AT
1119,3706,existing,74.5,Solar Photovoltaic,SE
1120,3707,existing,151.8,Onshore Wind Turbine,CEN
1121,3708,existing,20,Solar Photovoltaic,NW
1122,3709,existing,20,Solar Photovoltaic,NW
1123,3710,existing,20,Solar Photovoltaic,NW
1124,3711,existing,20,Solar Photovoltaic,NW
1125,3712,existing,52,Solar Photovoltaic,SW
1126,3713,existing,15,Solar Photovoltaic,CA
1127,3714,existing,1.6,Solar Photovoltaic,SE
1128,3715,existing,1.6,Solar Photovoltaic,SE
1129,3716,existing,1,Solar Photovoltaic,NE
1130,3717,existing,1,Solar Photovoltaic,NE
1131,3721,existing,13.5,Solar Photovoltaic,MID_AT
1132,3722,existing,3,Solar Photovoltaic,SE
1134,3727,existing,160,Solar Photovoltaic,TX
1136,3729,existing,74.5,Solar Photovoltaic,SE
1139,3732,existing,1.1,Solar Photovoltaic,N_CEN
1140,3733,existing,1.1,Solar Photovoltaic,N_CEN
1141,3734,existing,1.1,Solar Photovoltaic,N_CEN
1142,3735,existing,1.1,Solar Photovoltaic,N_CEN
1143,3736,existing,1.1,Solar Photovoltaic,N_CEN
1144,3737,existing,1.1,Solar Photovoltaic,N_CEN
1145,3738,existing,1.1,Solar Photovoltaic,N_CEN
1146,3739,existing,1.1,Solar Photovoltaic,N_CEN
1147,3740,existing,1.1,Solar Photovoltaic,N_CEN
1148,3741,existing,1.1,Solar Photovoltaic,N_CEN
1149,3742,existing,1.5,Solar Photovoltaic,NE
1150,3743,existing,19.2,Solar Photovoltaic,CA
1151,3744,existing,1.5,Solar Photovoltaic,CA
1152,3745,existing,75,Solar Photovoltaic,CA
1153,3746,existing,100,Solar Photovoltaic,CA
1154,3747,existing,150,Onshore Wind Turbine,SW
1155,3748,existing,250,Onshore Wind Turbine,SW
1156,3749,existing,4.9,Solar Photovoltaic,SE
1157,3750,existing,196.7,Onshore Wind Turbine,TX
1160,3754,existing,208,Onshore Wind Turbine,MID_AT
1163,3757,existing,12.8,Solar Photovoltaic,SE
1164,3758,existing,62.1,Onshore Wind Turbine,SW
1165,3759,existing,40,Solar Photovoltaic,CA
1166,3760,existing,20,Solar Photovoltaic,CA
1167,3761,existing,20,Solar Photovoltaic,CA
1168,3762,existing,20,Solar Photovoltaic,CA
1171,3765,existing,3,Solar Photovoltaic,SW
1174,3768,existing,1.8,Solar Photovoltaic,SE
1175,3769,existing,1.8,Solar Photovoltaic,SE
1176,3770,existing,3.8,Solar Photovoltaic,SE
1182,3778,existing,3.5,Solar Photovoltaic,SE
1184,3780,existing,1.4,Solar Photovoltaic,CA
1185,3781,existing,12,Solar Photovoltaic,CEN
1186,3782,existing,80,Solar Photovoltaic,SW
1187,3783,existing,50.4,Solar Photovoltaic,SW
1188,3784,existing,80,Solar Photovoltaic,SE
1189,3785,existing,207.2,Onshore Wind Turbine,TX
1190,3786,existing,1.5,Solar Photovoltaic,CA
1191,3787,existing,80,Solar Photovoltaic,SW
1192,3788,existing,205.3,Solar Photovoltaic,CA
1193,3789,existing,20,Solar Photovoltaic,CA
1194,3790,existing,20,Solar Photovoltaic,CA
1195,3791,existing,60,Solar Photovoltaic,CA
1196,3792,existing,205.3,Solar Photovoltaic,CA
1203,3799,existing,5,Solar Photovoltaic,SE
1204,3800,existing,5,Solar Photovoltaic,SE
1205,3803,existing,3,Solar Photovoltaic,SW
1208,3806,existing,5,Solar Photovoltaic,SE
1209,3807,existing,5,Solar Photovoltaic,SE
1210,3808,existing,5,Solar Photovoltaic,SE
1211,3809,existing,4.5,Solar Photovoltaic,NE
1214,3823,existing,15,Solar Photovoltaic,SW
1215,3825,existing,5,Solar Photovoltaic,SE
1216,3826,existing,1,Solar Photovoltaic,CA
1217,3827,existing,20,Solar Photovoltaic,CA
1218,3828,existing,5,Solar Photovoltaic,SE
1223,3833,existing,5,Solar Photovoltaic,SE
1224,3834,existing,2,Solar Photovoltaic,MID_AT
1225,3837,existing,2,Solar Photovoltaic,SE
1228,3841,existing,2.1,Solar Photovoltaic,MID_AT
1229,3842,existing,1,Solar Photovoltaic,MID_AT
1230,3845,existing,5,Solar Photovoltaic,SE
1231,3846,existing,20,Solar Photovoltaic,CA
1232,3847,existing,5,Solar Photovoltaic,SE
1233,3848,existing,3,Solar Photovoltaic,MID_AT
1234,3849,existing,148,Solar Photovoltaic,SE
1235,3850,existing,103,Solar Photovoltaic,SE
1236,3851,existing,30,Solar Photovoltaic,SE
1237,3853,existing,20,Solar Photovoltaic,SE
1238,3855,existing,178.2,Onshore Wind Turbine,CEN
1239,3856,existing,15,Solar Photovoltaic,SE
1241,3866,existing,31,Solar Photovoltaic,SE
1242,3867,existing,62.3,Solar Photovoltaic,N_CEN
1243,3868,existing,20,Solar Photovoltaic,SE
1244,3869,existing,1.3,Solar Photovoltaic,NE
1245,3870,existing,13,Solar Photovoltaic,CA
1246,3874,existing,20,Solar Photovoltaic,CA
1247,3875,existing,1.9,Solar Photovoltaic,SE
1248,3876,existing,2.5,Solar Photovoltaic,NE
1249,3877,existing,30,Solar Photovoltaic,SE
1250,3878,existing,30,Solar Photovoltaic,SE
1251,3879,existing,30,Solar Photovoltaic,SE
1252,3880,existing,30,Solar Photovoltaic,SE
1253,3881,existing,2.6,Solar Photovoltaic,MID_AT
1255,3883,existing,1,Solar Photovoltaic,NE
1256,3884,existing,5,Solar Photovoltaic,SE
1257,3885,existing,5,Solar Photovoltaic,MID_AT
1258,3886,existing,2.5,Solar Photovoltaic,MID_AT
1259,3887,existing,5,Solar Photovoltaic,MID_AT
1260,3888,existing,4.6,Solar Photovoltaic,MID_AT
1261,3889,existing,100,Solar Photovoltaic,N_CEN
1262,3890,existing,150,Solar Photovoltaic,MID_AT
1263,3891,existing,1.2,Solar Photovoltaic,SW
1264,3892,existing,1.2,Solar Photovoltaic,SW
1265,3893,existing,2,Solar Photovoltaic,SW
1289,3917,existing,0.8,Solar Photovoltaic,MID_AT
1290,3918,existing,1.6,Solar Photovoltaic,MID_AT
1291,3919,existing,1,Solar Photovoltaic,SE
1292,3920,existing,3.2,Solar Photovoltaic,MID_AT
1293,3921,existing,1,Solar Photovoltaic,MID_AT
1294,3922,existing,155,Solar Photovoltaic,CA
1295,3923,existing,1.9,Solar Photovoltaic,NE
1296,3924,existing,50,Onshore Wind Turbine,CEN
1297,3925,existing,150,Onshore Wind Turbine,CEN
1300,3928,existing,1.9,Solar Photovoltaic,SE
1301,3929,existing,1,Solar Photovoltaic,N_CEN
1302,3930,existing,5,Solar Photovoltaic,SE
1303,3931,existing,5,Solar Photovoltaic,SE
1304,3932,existing,4.9,Solar Photovoltaic,SE
1305,3934,existing,5,Solar Photovoltaic,SE
1306,3935,existing,79,Solar Photovoltaic,SW
1307,3937,existing,5,Solar Photovoltaic,SE
1308,3938,existing,5,Solar Photovoltaic,SE
1309,3939,existing,2.5,Solar Photovoltaic,N_CEN
1310,3940,existing,2,Solar Photovoltaic,NE
1311,3941,existing,3,Solar Photovoltaic,NE
1312,3942,existing,3,Solar Photovoltaic,NE
1313,3943,existing,10,Solar Photovoltaic,SW
1314,3944,existing,4.4,Solar Photovoltaic,SW
1315,3945,existing,5.2,Solar Photovoltaic,SE
1317,3947,existing,1.7,Onshore Wind Turbine,SW
1320,3950,existing,41.8,Solar Photovoltaic,SW
1321,3951,existing,51.8,Solar Photovoltaic,SW
1325,3955,existing,10.3,Solar Photovoltaic,MID_AT
1332,3962,existing,1.5,Solar Photovoltaic,SW
1339,3971,existing,1.3,Solar Photovoltaic,CA
1340,3972,existing,1.5,Onshore Wind Turbine,MID_AT
1341,3973,existing,5,Solar Photovoltaic,MID_AT
1349,3985,existing,1.2,Solar Photovoltaic,NW
1350,3986,existing,1.4,Solar Photovoltaic,NE
1351,3987,existing,1,Solar Photovoltaic,NE
1352,3988,existing,3,Solar Photovoltaic,SW
1353,3989,existing,3,Solar Photovoltaic,SW
1362,4001,existing,5,Solar Photovoltaic,NE
1363,4002,existing,4.3,Solar Photovoltaic,NE
1364,4003,existing,12.6,Solar Photovoltaic,SW
1365,4004,existing,47.7,Solar Photovoltaic,SE
1366,4005,existing,2.6,Solar Photovoltaic,NE
1367,4007,existing,3,Solar Photovoltaic,NE
1378,4018,existing,1,Solar Photovoltaic,N_CEN
1379,4019,existing,2,Solar Photovoltaic,MID_AT
1380,4020,existing,1.6,Solar Photovoltaic,SE
1381,4021,existing,1.5,Solar Photovoltaic,NE
1382,4022,existing,4.8,Solar Photovoltaic,NE
1383,4023,existing,1.5,Solar Photovoltaic,NE
1384,4024,existing,2,Solar Photovoltaic,NE
1391,4031,existing,5,Solar Photovoltaic,SE
1392,4032,existing,5,Solar Photovoltaic,SE
1393,4033,existing,5,Solar Photovoltaic,SE
1397,4040,existing,2.2,Solar Photovoltaic,NE
1398,4041,existing,3.5,Solar Photovoltaic,SE
1399,4042,existing,1.3,Solar Photovoltaic,NE
1400,4043,existing,1.2,Solar Photovoltaic,MID_AT
1401,4044,existing,2.9,Solar Photovoltaic,NE
1402,4045,existing,2.2,Solar Photovoltaic,MID_AT
1403,4046,existing,1.2,Solar Photovoltaic,CA
1404,4047,existing,14.4,Solar Photovoltaic,SW
1405,4048,existing,2,Solar Photovoltaic,CA
1406,4049,existing,3.5,Solar Photovoltaic,NE
1407,4050,existing,2.7,Solar Photovoltaic,SE
1408,4051,existing,1.5,Solar Photovoltaic,MID_AT
1409,4052,existing,1.5,Solar Photovoltaic,SW
1410,4053,existing,1.9,Solar Photovoltaic,NE
1411,4054,existing,20,Solar Photovoltaic,CA
1412,4055,existing,5,Solar Photovoltaic,CA
1413,4056,existing,5,Solar Photovoltaic,CA
1414,4057,existing,9,Solar Photovoltaic,CA
1415,4058,existing,1.9,Onshore Wind Turbine,CEN
1416,4059,existing,2.5,Onshore Wind Turbine,N_CEN
1417,4060,existing,150,Onshore Wind Turbine,TX
1418,4061,existing,150,Onshore Wind Turbine,TX
1419,4062,existing,150,Onshore Wind Turbine,TX
1420,4063,existing,3,Solar Photovoltaic,NE
1421,4064,existing,2,Solar Photovoltaic,CA
1422,4065,existing,2.8,Solar Photovoltaic,CEN
1428,4071,existing,3,Onshore Wind Turbine,NE
1429,4072,existing,1.5,Onshore Wind Turbine,NE
1430,4073,existing,30,Solar Photovoltaic,CA
1431,4074,existing,20,Solar Photovoltaic,CA
1432,4082,existing,2,Solar Photovoltaic,NE
1443,4093,existing,0.3,Solar Photovoltaic,NE
1444,4094,existing,0.7,Solar Photovoltaic,NE
1445,4095,existing,1.2,Solar Photovoltaic,MID_AT
1446,4096,existing,1,Solar Photovoltaic,CEN
1447,4097,existing,4,Solar Photovoltaic,CEN
1448,4098,existing,95.3,Onshore Wind Turbine,TX
1453,4103,existing,0.9,Solar Photovoltaic,N_CEN
1454,4104,existing,2.3,Solar Photovoltaic,N_CEN
1455,4105,existing,5,Solar Photovoltaic,SE
1456,4106,existing,5,Solar Photovoltaic,SE
1457,4107,existing,2,Solar Photovoltaic,NE
1459,4109,existing,1,Solar Photovoltaic,CA
1460,4110,existing,50,Solar Photovoltaic,SW
1461,4117,existing,20,Solar Photovoltaic,NW
1462,4118,existing,5,Solar Photovoltaic,SE
1463,4121,existing,50,Solar Photovoltaic,SE
1464,4122,existing,40,Solar Photovoltaic,SE
1465,4123,existing,30,Solar Photovoltaic,SE
1490,4148,existing,1.5,Solar Photovoltaic,CA
1495,4153,existing,20,Solar Photovoltaic,MID_AT
1496,4154,existing,150,Onshore Wind Turbine,CEN
1497,4155,existing,2.2,Solar Photovoltaic,MID_AT
