,id,operational_status,capacity_mw,technology_description,OEO_region
188,2488,existing,7,Solar Photovoltaic,CA
189,2489,existing,1.5,Onshore Wind Turbine,MID_AT
190,2490,existing,1.5,Onshore Wind Turbine,MID_AT
191,2491,existing,1.5,Onshore Wind Turbine,MID_AT
192,2492,existing,1.5,Onshore Wind Turbine,MID_AT
193,2493,existing,2,Solar Photovoltaic,NE
194,2494,existing,1.5,Onshore Wind Turbine,NE
197,2501,existing,2,Solar Photovoltaic,SW
199,2503,existing,4.3,Solar Photovoltaic,CA
200,2504,existing,6.1,Solar Photovoltaic,MID_AT
201,2505,existing,10,Solar Photovoltaic,SE
202,2507,existing,29.9,Onshore Wind Turbine,CEN
203,2508,existing,7.9,Solar Photovoltaic,MID_AT
204,2509,existing,50,Solar Photovoltaic,TX
205,2511,existing,300,Onshore Wind Turbine,TX
206,2512,existing,2.5,Solar Photovoltaic,NE
207,2513,existing,2,Solar Photovoltaic,MID_AT
208,2514,existing,1.9,Solar Photovoltaic,CA
209,2515,existing,100.5,Onshore Wind Turbine,TX
210,2516,existing,5,Solar Photovoltaic,SE
211,2517,existing,20,Solar Photovoltaic,CA
212,2518,existing,5,Solar Photovoltaic,SE
213,2519,existing,1.9,Solar Photovoltaic,CA
214,2520,existing,1,Solar Photovoltaic,CA
215,2524,existing,9.9,Solar Photovoltaic,NW
216,2525,existing,20,Solar Photovoltaic,CA
218,2529,existing,1,Solar Photovoltaic,N_CEN
219,2530,existing,1,Solar Photovoltaic,N_CEN
220,2531,existing,1,Solar Photovoltaic,N_CEN
221,2534,existing,2,Solar Photovoltaic,NE
222,2535,existing,4.9,Solar Photovoltaic,N_CEN
223,2536,existing,5,Solar Photovoltaic,SE
224,2537,existing,20,Solar Photovoltaic,SW
229,2553,existing,1,Solar Photovoltaic,CEN
230,2556,existing,1,Solar Photovoltaic,CA
231,2557,existing,3.8,Solar Photovoltaic,N_CEN
232,2560,existing,20,Solar Photovoltaic,CA
233,2562,existing,10.5,Solar Photovoltaic,N_CEN
234,2563,existing,1,Solar Photovoltaic,N_CEN
235,2564,existing,1,Solar Photovoltaic,N_CEN
236,2565,existing,1,Solar Photovoltaic,N_CEN
237,2566,existing,1,Solar Photovoltaic,N_CEN
238,2567,existing,1,Solar Photovoltaic,N_CEN
