SW_bl_0_100,SW_bl_10_90,SW_bl_20_80,SW_bl_30_70,SW_bl_40_60,SW_bl_50_50,SW_bl_60_40,SW_bl_70_30,SW_bl_80_20,SW_bl_90_10,SW_bl_100_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,1.0
