N_CEN_bl_0_100,N_CEN_bl_10_90,N_CEN_bl_20_80,N_CEN_bl_30_70,N_CEN_bl_40_60,N_CEN_bl_50_50,N_CEN_bl_60_40,N_CEN_bl_70_30,N_CEN_bl_80_20,N_CEN_bl_90_10,N_CEN_bl_100_0
21212.5,21212.5,21212.5,21212.5,21212.5,21212.5,21212.5,21212.5,21212.5,21212.5,21212.5
22212.5,22212.5,22212.5,22212.5,22212.5,22212.5,22212.5,22212.5,22212.5,22212.5,22212.5
23212.5,23212.5,23212.5,23212.5,23212.5,23212.5,23212.5,23212.5,23212.5,23212.5,23212.5
