NW_bl_0_100,NW_bl_10_90,NW_bl_20_80,NW_bl_30_70,NW_bl_40_60,NW_bl_50_50,NW_bl_60_40,NW_bl_70_30,NW_bl_80_20,NW_bl_90_10,NW_bl_100_0
0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,0.5,0.5,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0
