CA_bl_0_100,CA_bl_10_90,CA_bl_20_80,CA_bl_30_70,CA_bl_40_60,CA_bl_50_50,CA_bl_60_40,CA_bl_70_30,CA_bl_80_20,CA_bl_90_10,CA_bl_100_0
16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2,16603.2
17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2,17603.2
18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2,18603.2
