TX_bl_0_100,TX_bl_10_90,TX_bl_20_80,TX_bl_30_70,TX_bl_40_60,TX_bl_50_50,TX_bl_60_40,TX_bl_70_30,TX_bl_80_20,TX_bl_90_10,TX_bl_100_0
1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
0.5,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,1.0,0.5
